energy,unc_en,intensity_%,unc_i,type,shell, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0.39, ,167.08867078385373,2.2714236768786895,AU,L,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
3.303, ,45.988864,4.4731372909777765,AU,L,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
3.459, ,16.812429075,1.3873180879693676,AU,L,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
3.588, ,61.860680460159195,0.9770463373238812,AU,KLL,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
3.971, ,79.268275941648,1.226729946700927,AU,K,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.01, ,16.33121964148203,0.3574367977973155,AU,KLX,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.316, ,7.402123948,0.1032643014798095,AU,L,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
4.419, ,1.07637584000677,0.04082460504213338,AU,KXY,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
5.487, ,74.56658806829192, ,AU,L,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
5.698, ,0.57148416,0.04121001141369412,AU,L,62,89,Sm, ,0, ,5/2-,90, ,8,Y,2840123337.71328,252455407.796736,B-,100, ,76.6,5,63,88,Eu, ,BALRAJ SINGH,2022-05-11
5.913, ,0.0700500528,0.005598075789575817,AU,L,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
9.136, ,46.04241,0.87893,AU,L,78,115,Pt, ,0, ,1/2-,50, ,6,Y,1577846298.7296,189341555.847552,EC,100, ,56.6,19,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2022-05-11
10.572, ,54.38158426586358,1.3612036887945753,AU,L,83,124,Bi, ,0, ,9/2-,31.55, ,4,Y,995621014.4983776,1262277.03898368,EC+B+,100, ,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2022-05-11
13.113, ,12.043700740326182,0.45918709239826305,AU,L,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
13.813, ,10.2,0.5,AU,L,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
21.656, ,1.5252304609218434,0.1494273967623495,AU,KLL,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
25.597, ,0.681778016032064,0.06722799139606295,AU,KLX,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
25.778, ,2.28327,0.22355757656585917,AU,K,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
26.202, ,0.5076043024771839,0.021646908103172144,AU,KLL,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
29.532, ,0.07626152304609217,0.007625463606683557,AU,KXY,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
31.173, ,0.24212725228161672,0.010632923195894886,AU,KLX,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
31.435, ,0.778665,0.03310361854178483,AU,K,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
32.377, ,4.0432086694136915, ,AU,KLL,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
34.144, ,0.9755981954054774,0.10675056801191726,AU,KLX,83,124,Bi, ,0, ,9/2-,31.55, ,4,Y,995621014.4983776,1262277.03898368,EC+B+,100, ,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2022-05-11
34.616, ,0.0034478946034963262,0.0003894966213080216,AU,KLL,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
36.133, ,0.028933445241199483,0.0013760370359929739,AU,KXY,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
38.74, ,2.0499067953927415, ,AU,KLX,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
39.072, ,6.352689461382791, ,AU,K,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
41.485, ,0.0017687699315936153,0.00020087983797099966,AU,KLX,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
41.836, ,0.005443536,0.0006145728458954237,AU,K,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
41.995, ,0.0002018648484702294,0.000026384073983582166,AU,KLX,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
43.948, ,2.86000632266,0.3099064675348094,AU,K,83,124,Bi, ,0, ,9/2-,31.55, ,4,Y,995621014.4983776,1262277.03898368,EC+B+,100, ,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2022-05-11
44.148, ,0.0000022,0.0000003,AU,KLX,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
