,Beta-decay fraction,Average beta decay energy,Beta-decay energy (keV),Half life (years),Isotope
4,1.0,5.69,14464.0,4.309579942707937e-09,134In
5,1.0,5.69,8610.0,1.6794686541435342e-09,154Ba
8,1.0,5.69,2602.0,2.7264430755190507e-06,173Er
10,1.0,5.69,9597.7522,6.147489035921616e-09,66Co
11,1.0,38.0,2917.709,0.00032226785306867445,88Kr
14,1.0,5.69,8748.5685,8.71422414885796e-09,63Mn
16,1.0,5.69,12523.3972,1.0647197505513727e-08,19N
17,1.0,5.69,2018.6123,1.0076811924861206e-05,158Sm
18,1.0,5.69,6455.6267,2.8677719471696198e-08,109Tc
22,1.0,5.69,1104.4191,0.00011921058635637691,229Ac
28,1.0,5.69,12319.3807,1.5273658326361954e-09,61V
34,1.0,5.69,2712.9729,4.49970846959211e-06,215Pb
37,1.0,60.2,1149.0844,4.182827591451821e-05,223Fr
39,1.0,5.69,3074.5667,6.654498440946079e-06,185Hf
42,1.0,5.69,4163.5021,5.989048596851471e-07,151Pr
45,1.0,3.21,45.5402,5.75,228Ra
51,1.0,5.69,7845.6026,9.31629781732451e-09,123Ag
56,1.0,5.69,5265.9197,4.753213172104342e-06,224At
58,1.0,5.69,5556.9381,4.975029786802545e-08,72Ni
59,1.0,5.69,4617.6517,6.147489035921615e-07,71Cu
62,1.0,5.69,14054.2989,3.092757370649225e-09,84Ga
67,1.0,72.0,2702.7013,2.545820974979086e-05,147Pr
69,1.0,14.1,485.8684,0.009308692676249144,166Dy
70,1.0,65.2,1830.774,0.0023859228838694958,28Mg
74,1.0,5.69,15438.0995,3.802570537683474e-10,58Sc
75,1.0,5.69,14438.1586,6.210865211549675e-10,63V
82,1.0,123.0,2470.1898,0.01469678302532512,148Pm
89,1.0,5.69,1631.0,1.787208152711233e-05,238Th
95,1.0,5.69,13839.0,7.003067406900398e-10,69Mn
101,1.0,5.69,2713.5412,8.859989352802494e-06,225Rn
102,1.0,5.69,6218.1669,2.018531193753644e-06,140Cs
105,1.0,19.1,90.8123,0.00161,93Zr
106,1.0,5.69,7203.1495,6.591122265318022e-08,77Zn
107,1.0,5.69,13250.0,7.922021953507237e-10,109Y
112,1.0,5.69,11186.0,5.13347022587269e-09,69Fe
116,1.0,5.69,10230.0,1.0507769919132e-08,75Ni
118,1.0,5.69,5411.738,3.3557684995056653e-08,96Sr
