,Isotope,Decay Energy (keV),Half-life (seconds)
0,12Be,2251.0,2.33e-07
1,16N,120.42,5.306e-06
2,18F,1121.36,1.6e-07
3,19F,197.143,8.870000000000001e-08
4,19Ne,238.27,1.8000000000000002e-08
5,21Mg,205.6,1.17e-08
6,22Na,583.05,2.43e-07
7,24Na,472.2074,0.02018
8,24Al,425.8,0.13069999999999998
9,26F,643.4,0.0022
10,26Na,82.4,4.35e-06
11,26Al,228.305,6.34602
12,26P,164.4,1.1500000000000001e-07
13,31Mg,49.93,1.2000000000000002e-08
14,31Mg,461.0,1.0500000000000001e-08
15,32Al,956.6,2.0000000000000002e-07
16,32Si,5581.0,2.7e-08
17,33Si,1434.9,1.02e-08
18,34Al,46.47,0.0221
19,34Si,2718.52,1.94e-08
20,34Cl,146.36,1919.3999999999999
21,37K,1380.25,1.04e-08
22,38Cl,671.365,0.715
23,38K,3458.1,2.1949999999999998e-05
24,40K,1643.638,3.36e-07
25,42Sc,616.782,61.7
26,43S,320.7,4.1500000000000005e-07
27,43K,738.3,2.0000000000000002e-07
28,43Sc,151.79,0.00043799999999999997
29,43Sc,3123.73,4.7200000000000004e-07
30,43Ti,313.0,1.19e-05
31,43Ti,3066.4,5.560000000000001e-07
32,44S,1365.0,2.6190000000000003e-06
33,44Sc,67.8679,1.548e-07
34,44Sc,146.1914,5.1e-05
35,44V,270.0,0.15
36,45Sc,12.4,0.326
37,45Ti,36.53,3e-06
38,45Ti,39.39,1.129e-08
39,45V,56.8,4.6500000000000005e-07
40,46Ca,2973.9,1.04e-08
41,46Sc,52.011,9.4e-06
42,46Sc,142.528,18.75
43,46V,801.46,0.00102
44,47Sc,766.83,2.72e-07
45,49Sc,2228.63,2.99e-08
46,49V,152.9282,1.99e-08
47,50K,172.0,1.31e-07
48,50Sc,256.895,0.35
49,50Mn,225.28,105.0
50,52Mn,377.749,1266.0
51,52Fe,6958.0,45.9
52,52Co,381.0,0.10200000000000001
53,53Fe,741.11,6.35e-08
54,53Fe,3040.4,152.4
55,53Co,3174.3,0.247
56,54Sc,110.0,2.7699999999999997e-06
57,54V,108.0,9e-07
58,54Fe,6527.1,3.6400000000000003e-07
59,54Co,197.1,88.8
60,54Ni,6457.4,1.5560000000000002e-07
61,56Sc,775.0,2.9e-07
62,58Sc,580.0,1.123e-06
63,58Sc,412.5,1.185e-06
64,58Sc,580.0,7.760000000000001e-07
65,58Mn,71.77,65.4
66,58Co,24.95,31870.8
67,58Co,53.15,1.05e-05
68,59Ti,108.7,6.16e-07
69,59Cr,502.7,9.6e-05
70,60V,103.2,2.04e-07
71,60Mn,271.8,1.77
72,60Co,58.59,628.02
73,61Ti,125.1,2.0000000000000002e-07
74,61Ti,700.7,3.54e-07
75,61Fe,861.67,2.3800000000000001e-07
76,62Mn,346.0,0.671
77,62Co,22.0,831.5999999999999
78,62Cu,390.12,1.1000000000000001e-08
