Parent_Isotope,Energy_keV
100Ag,22.76
100Cd,17.07
100In,11.38
100Kr,45.519999999999996
100Mo,11.38
100Nb,17.07
100Pd,25.150000000000002
100Rb,39.83
100Rh,349.15
100Sn,5.69
100Sr,34.14
100Tc,5.69
100Y,28.450000000000003
100Zr,22.76
101Ag,22.76
101Cd,17.07
101In,11.38
101Kr,306.14
101Mo,272.0
101Nb,277.69
101Pd,241.26
101Rb,300.45
101Rh,243.79
101Sn,5.69
101Sr,294.76
101Tc,201.0
101Y,289.07
101Zr,283.38
102Ag,767.0700000000002
102Cd,17.07
102In,11.38
102Mo,11.38
102Nb,17.07
102Rb,39.83
102Rh,2.39
102Sn,5.69
102Sr,34.14
102Tc,5.69
102Y,28.450000000000003
102Zr,22.76
103Ag,190.07
103Cd,17.07
103In,11.38
103Mo,41.58
103Nb,47.269999999999996
103Pd,192.45999999999998
103Rb,70.03
103Ru,30.2
103Sn,5.69
103Sr,64.34
103Tc,35.89
103Y,58.650000000000006
103Zr,52.96
104Ag,267.68
104Cd,19.680000000000003
104In,17.07
104Mo,499.69
104Nb,505.38
104Rb,528.14
104Rh,5.69
104Sb,5.69
104Sn,11.38
104Sr,522.45
104Tc,494.0
104Y,516.76
104Zr,511.07
105Ag,30.950000000000006
105Cd,28.450000000000003
105In,22.76
105Mo,98.48
105Nb,104.17
105Rh,33.0
105Ru,87.1
105Sb,11.38
105Sn,17.07
105Sr,121.24000000000001
105Tc,92.78999999999999
105Te,5.69
105Y,115.55000000000001
105Zr,109.86
106Ag,636.1
106In,22.76
106Mo,171.41
106Nb,177.1
106Rh,150.0
106Ru,160.03
106Sb,11.38
106Sn,17.07
106Sr,194.17000000000002
106Tc,165.72
106Te,5.69
106Y,188.48000000000002
106Zr,182.79
107Cd,170.25
107I,5.69
107In,28.450000000000003
107Mo,133.37
107Nb,139.06
107Pd,9.3
107Rh,116.3
107Ru,121.99
107Sb,17.07
107Sn,22.76
107Sr,156.13
107Tc,127.67999999999999
107Te,11.38
107Y,150.44
107Zr,144.75
108Ag,2.5
108I,11.38
108In,34.14
108Mo,22.76
108Nb,28.450000000000003
108Rh,5.69
108Ru,11.38
108Sb,22.76
108Sn,28.450000000000003
108Tc,17.07
108Te,17.07
108Xe,5.69
108Y,39.83
108Zr,34.14
109Cd,385.06
109I,11.38
109In,382.45
109Mo,92.06
109Nb,97.75
109Pd,69.3
109Rh,74.99
109Ru,80.67999999999999
109Sb,22.76
109Sn,28.450000000000003
109Tc,86.37
109Te,17.07
109Xe,5.69
109Y,109.13
109Zr,103.44
10Be,202.64
10C,11.38
10He,214.01999999999998
10Li,208.32999999999998
10N,5.69
110Ag,21.8
110I,11.38
110In,226.6
110Mo,22.76
110Nb,28.450000000000003
110Rh,5.69
110Ru,11.38
110Sb,22.76
110Sn,25.600000000000005
110Tc,17.07
110Te,17.07
110Xe,5.69
110Zr,34.14
111Ag,5.69
111Cs,5.69
111I,17.07
111In,668.1700000000003
111Mo,34.14
