decay_routes
"244Bk,EC,99.994%,EC not yet accounted for,18072seconds,EC not yet accounted for"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,EC,100%,EC not yet accounted for,182880seconds,EC not yet accounted for"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,EC,86.3%,EC not yet accounted for,4828209674112.576seconds,EC not yet accounted for"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,B-,13.5%,7.13keV,4828209674112.576seconds,236Pu,A,100%,5760.45keV,90189694.43538393seconds,232U,A,100%,5301.99keV,2174272199.649389seconds,228Th,A,100%,5403.48keV,60324219.69303007seconds,224Ra,A,100%,5673.15keV,313796.16seconds,220Rn,A,100%,6287.46keV,55.6seconds,216Po,A,100%,6778.28keV,0.145seconds,212Pb,B-,100%,100.22keV,38239.2seconds,212Bi,B-,64.06%,493.92keV,3633seconds,212Po,A,100%,8784.86keV,0.0000002943seconds,208Pb,stable"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,A,0.16%,0.0keV,4828209674112.576seconds,232Pa,B-,100%,93.49keV,114048seconds,232U,A,100%,5301.99keV,2174272199.649389seconds,228Th,A,100%,5403.48keV,60324219.69303007seconds,224Ra,A,100%,5673.15keV,313796.16seconds,220Rn,A,100%,6287.46keV,55.6seconds,216Po,A,100%,6778.28keV,0.145seconds,212Pb,B-,100%,100.22keV,38239.2seconds,212Bi,B-,64.06%,493.92keV,3633seconds,212Po,A,100%,8784.86keV,0.0000002943seconds,208Pb,stable"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,B-,13.5%,7.13keV,4828209674112.576seconds,236Pu,SF,0.00000019%,SF not yet accounted for,SF not accounted for ,SF not yet accounted for"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,A,0.16%,0.0keV,4828209674112.576seconds,232Pa,EC, %,EC not yet accounted for,114048seconds,EC not yet accounted for"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,B-,13.5%,7.13keV,4828209674112.576seconds,236Pu,A,100%,5760.45keV,90189694.43538393seconds,232U,{+24}Ne,0.00000000089%,{+24}Ne not yet accounted for,{+24}Ne not accounted for ,{+24}Ne not yet accounted for"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,B-,13.5%,7.13keV,4828209674112.576seconds,236Pu,A,100%,5760.45keV,90189694.43538393seconds,232U,SF,0.0000000000027%,SF not yet accounted for,SF not accounted for ,SF not yet accounted for"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,A,0.16%,0.0keV,4828209674112.576seconds,232Pa,B-,100%,93.49keV,114048seconds,232U,{+24}Ne,0.00000000089%,{+24}Ne not yet accounted for,{+24}Ne not accounted for ,{+24}Ne not yet accounted for"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,A,0.16%,0.0keV,4828209674112.576seconds,232Pa,B-,100%,93.49keV,114048seconds,232U,SF,0.0000000000027%,SF not yet accounted for,SF not accounted for ,SF not yet accounted for"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,B-,13.5%,7.13keV,4828209674112.576seconds,236Pu,A,100%,5760.45keV,90189694.43538393seconds,232U,A,100%,5301.99keV,2174272199.649389seconds,228Th,A,100%,5403.48keV,60324219.69303007seconds,224Ra,14C,0.000000004%,14C not yet accounted for,14C not accounted for ,14C not yet accounted for"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,A,0.16%,0.0keV,4828209674112.576seconds,232Pa,B-,100%,93.49keV,114048seconds,232U,A,100%,5301.99keV,2174272199.649389seconds,228Th,A,100%,5403.48keV,60324219.69303007seconds,224Ra,14C,0.000000004%,14C not yet accounted for,14C not accounted for ,14C not yet accounted for"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,B-,13.5%,7.13keV,4828209674112.576seconds,236Pu,A,100%,5760.45keV,90189694.43538393seconds,232U,A,100%,5301.99keV,2174272199.649389seconds,228Th,A,100%,5403.48keV,60324219.69303007seconds,224Ra,A,100%,5673.15keV,313796.16seconds,220Rn,A,100%,6287.46keV,55.6seconds,216Po,A,100%,6778.28keV,0.145seconds,212Pb,B-,100%,100.22keV,38239.2seconds,212Bi,A,35.94%,2175.34keV,3633seconds,208Tl,B-,100%,559.47keV,183.18seconds,208Pb,stable"
"244Bk,A,0.006%,0.399keV,18072seconds,240Am,A,0.00019%,0.0101keV,182880seconds,236Np,A,0.16%,0.0keV,4828209674112.576seconds,232Pa,B-,100%,93.49keV,114048seconds,232U,A,100%,5301.99keV,2174272199.649389seconds,228Th,A,100%,5403.48keV,60324219.69303007seconds,224Ra,A,100%,5673.15keV,313796.16seconds,220Rn,A,100%,6287.46keV,55.6seconds,216Po,A,100%,6778.28keV,0.145seconds,212Pb,B-,100%,100.22keV,38239.2seconds,212Bi,A,35.94%,2175.34keV,3633seconds,208Tl,B-,100%,559.47keV,183.18seconds,208Pb,stable"
