Isotopes,Log10_Energy_Joules
254Es,12.99947530078827
228Th,12.7414922956704
225Ac,12.283162768588916
227Ac,12.979554422343613
265Hs,12.443947925985496
228Ra,12.626063446307759
242Cm,12.963370809875354
215Bi,12.270195593171655
222Fr,12.800703797322065
259No,13.154644772366467
256No,12.222707933870396
218At,12.603348619226757
218Rn,12.646439078847898
214Pb,12.198317883787466
258Md,13.338508355280972
230U,13.001969837046575
220At,12.344422109886992
249Cf,12.201137249873476
220Fr,12.457314523641756
253Cf,12.574211920830015
226Th,12.911943243336461
226Pa,12.60673691509907
219Rn,12.62080037430408
271Ds,13.535126870672471
265Sg,12.265651786935539
239Pa,12.601285730958283
257Fm,13.338364549850345
222Ra,12.806194492547199
243Cm,13.26928801019917
226Ac,12.834566422678915
214Bi,12.397222811060017
259Sg,12.279475667890063
223Ac,12.669379728376194
235Th,12.346696526528671
259Rf,13.377838466172708
255No,12.361070093540786
257Lr,12.424220542813277
218Bi,12.408878002489056
254Fm,13.031815105643318
219At,12.428672121423709
255Es,13.314740076355255
238Pa,12.321054624723601
246Cf,13.008360557264115
251Cf,12.588579967601433
269Hs,12.796324845913345
222Rn,13.159511652395944
232U,12.785065086827808
214Po,12.362567485047615
226Fr,12.251715103439969
227Th,12.835593815568851
226Rn,12.366959891828095
257No,12.561128814091479
261Db,12.365867916787993
216At,12.193668684990586
227Pa,12.695349891490919
215At,12.205222416628706
246Fm,12.327665537584615
234Ac,12.322439039967234
253Es,12.897638233823356
218Fr,12.522238220861434
238Th,12.403972759403068
255Fm,13.353304671229138
242Cf,12.248293684225672
214At,12.245895651875795
250Fm,12.96118642158364
238Pu,12.870444433201381
251Cm,12.192972655656694
222Ac,12.66909862553552
226Ra,12.43769625253107
230Ra,12.189875317479821
259Lr,12.914325614921554
247Bk,12.408969505836096
242U,12.24445028930494
219Fr,12.485430421592536
263Db,12.89273989543919
218Po,12.565185718314178
263Sg,13.041779449311607
224Ra,12.641371902389299
231Fr,12.611386194648938
223Ra,12.859288772071409
220Rn,12.416292134468511
261Rf,12.853955508115845
251No,12.426220331956083
230Fr,12.392079358078592
