first,second
"(1, 2)","[210, 457, 460, 456, 451, 216, 208, 2, 211, 202, 455, 213, 450, 106, 452, 212, 102, 209, 454, 206, 459]"
"(-1, -3)","[30, 25, 29, 24, 22]"
"(-2, -6)",[36]
"(-2, -3)",[112]
"(0, -2)","[5, 10, 33]"
"(-1, -2)","[207, 801, 849, 108, 116, 109, 107, 1, 800]"
"(-2, -2)",[101]
"(0, -1)","[700, 32, 215, 205, 11, 702, 50, 749, 105, 701]"
"(-1, -1)",[115]
"(0, 0)","[699, 650, 104, 651, 28, 41, 204, 42, 20, 652, 44, 21, 38]"
"(-2, -5)","[35, 113]"
"(1, 1)","[875, 90, 4, 91, 218, 52, 34, 18, 16, 891, 876, 152, 17, 37, 214, 3, 51]"
"(0, 1)","[251, 253, 151, 603, 111, 751, 203, 750, 103, 27, 458, 799, 19, 217, 600, 649, 252, 601, 604, 602]"
"(-2, -4)","[114, 117, 45, 23]"
