,e-Folding Time (seconds),Average beta-decay energy,Daughter
147Xe,0.12695716359822878,5.69,147Cs
147Cs,0.332541206924906,5.69,147Ba
147Ba,1.2883266715138442,5.69,147La
147La,5.8082902346189655,5.69,147Ce
147Ce,81.36800030613752,5.69,147Pr
147Pr,1159.0611958501931,72.0,147Nd
147Nd,1368644.389830215,57.6,147Pm
147Pm,119438136.89485282,61.96,147Sm
147Sm,4.853284056183315e+18,2233.0,147Eu
147Eu,3004037.321940636,242.0,147Gd
147Gd,197672.30372244222,491.0,147Tb
147Tb,8517.67152140844,757.0,147Dy
147Dy,96.66056773956055,5.69,147Ho
147Ho,8.367631237155988,5.69,147Er
147Er,4.6166241308446825,5.69,147Tm
147Tm,0.8367631237155988,5.69,147Yb
