,e-Folding Time (seconds),Average beta-decay energy,Daughter
151Ba,0.24093007182845688,5.69,151La
151La,0.670853194013368,5.69,151Ce
151Ce,2.5391432719645755,5.69,151Pr
151Pr,27.266936272801406,5.69,151Nd
151Nd,1076.8275785195224,36.7,151Pm
151Pm,147501.14098048763,46.0,151Sm
151Sm,4306948139.915025,13.96,151Eu
151Eu,2.0942876790284475e+26,5.69,151Gd
151Gd,15443992.704914715,4.69,151Tb
151Tb,91455.90111004953,172.2,151Dy
151Dy,1549.4544739147468,5.69,151Ho
151Ho,50.78286543929153,5.69,151Er
151Er,33.90333346089063,5.69,151Tm
151Tm,6.0160383205069765,5.69,151Yb
151Yb,2.3083120654223412,5.69,151Lu
151Lu,0.11310729120569475,5.69,151Hf
