,e-Folding Time (seconds),Average beta-decay energy,Daughter
214Hg,11.541560327111707,5.69,214Tl
214Tl,15.869645449778593,5.69,214Pb
214Pb,2342.3596683873207,36.0,214Bi
214Bi,1722.5778788214225,5452.0,214Po
214Po,0.0002358373583341189,6902.2,214At
214At,8.050238328160416e-07,5.69,214Rn
214Rn,3.736580155902415e-07,5.69,214Fr
214Fr,0.007949249675298187,5.69,214Ra
214Ra,3.5158478146464023,5.69,214Ac
214Ac,11.830099335289496,5.69,214Th
214Th,0.1255144685573398,5.69,214Pa
214Pa,0.02452581569511238,5.69,214U
