,e-Folding Time (seconds),Average beta-decay energy,Daughter
223Bi,1.4426950408889634,5.69,223Po
223Po,8.65617024533378,5.69,223At
223At,72.13475204444815,5.69,223Rn
223Rn,2103.449369616109,5.69,223Fr
223Fr,1904.3574539734318,60.2,223Ra
223Ra,1425384.5470479478,5151.3,223Ac
223Ac,181.77957515200941,5897.0,223Th
223Th,0.8656170245333781,5.69,223Pa
223Pa,0.007646283716711506,5.69,223U
223U,9.377517765778261e-05,5.69,223Np
223Np,3.6067376022224084e-06,5.69,223Pu
223Pu,1.4426950408889633e-05,5.69,223Am
223Am,0.014426950408889635,5.69,223Cm
