,e-Folding Time (seconds),Average beta-decay energy,Daughter
224Po,259.68510736001343,5.69,224At
224At,216.40425613334452,5.69,224Rn
224Rn,9262.102162507144,5.69,224Fr
224Fr,288.2504691696149,5.69,224Ra
224Ra,452674.76922653994,5448.6,224Ac
224Ac,14438.491969216746,5712.8,224Th
224Th,1.5004028425245224,5.69,224Pa
224Pa,1.2176346145102852,5.69,224U
224U,0.0005713072361920295,5.69,224Np
224Np,6.924936196267025e-05,5.69,224Pu
224Pu,1.4426950408889633e-05,5.69,224Am
224Am,0.0014426950408889636,5.69,224Cm
