,Isotope,Decay Energy (keV),Half-life (seconds)
0,12Be,2251.0,2.33e-07
1,16N,120.42,5.25e-06
2,18F,1121.36,1.6200000000000002e-07
3,19F,197.143,8.93e-08
4,19Ne,238.27,1.8000000000000002e-08
5,22Na,583.11,2.43e-07
6,24Na,472.2074,0.02018
7,24Al,425.8,0.13090000000000002
8,26F,643.4,0.0022
9,26Na,82.5,9e-06
10,26Al,228.305,6.3463
11,31Mg,50.1,1.6e-08
12,31Mg,461.0,1.0500000000000001e-08
13,32Al,956.6,2.0000000000000002e-07
14,32Si,5581.0,2.7e-08
15,33Si,1434.9,1.02e-08
16,34Cl,146.36,1919.3999999999999
17,37K,1380.25,1.04e-08
18,38Cl,671.365,0.715
19,38K,130.15,0.9244600000000001
20,38K,3458.14,2.1949999999999998e-05
21,40K,1643.639,3.36e-07
22,42Sc,616.28,61.7
23,43S,320.9,2e-07
24,43K,738.1,2.0000000000000002e-07
25,43Sc,151.4,0.00043799999999999997
26,43Sc,3124.32,4.7000000000000005e-07
27,43Ti,312.7,1.19e-05
28,43Ti,3067.0,5.560000000000001e-07
29,44S,1365.0,2.6190000000000003e-06
30,44Sc,67.8679,1.548e-07
31,44Sc,146.1914,5.1e-05
32,44Sc,271.24,210996.0
33,45Sc,12.4,0.318
34,45Ti,36.53,3e-06
35,45Ti,39.39,1.129e-08
36,45V,56.8,4.6500000000000005e-07
37,46Ca,2973.9,1.04e-08
38,46Sc,52.011,9.4e-06
39,46Sc,142.528,18.75
40,46V,801.46,0.00102
41,47Sc,766.83,2.72e-07
42,49Sc,2228.63,2.99e-08
43,49V,152.9282,1.99e-08
44,50K,172.4,1.3800000000000002e-07
45,50Sc,256.895,0.35
46,50Mn,225.28,105.0
47,52Mn,377.749,1266.0
48,52Fe,6958.0,45.9
49,53Fe,741.11,6.35e-08
50,53Fe,3040.4,152.4
51,53Co,3174.3,0.247
52,54Sc,110.0,2.7699999999999997e-06
53,54V,108.0,9e-07
54,54Fe,6527.1,3.6400000000000003e-07
55,54Co,197.1,88.8
56,54Ni,6457.4,1.52e-07
57,56Sc,774.9,3.5e-07
58,57Fe,14.4129,9.83e-08
59,58Mn,71.77,65.4
60,58Co,24.95,32760.0
61,58Co,53.15,1.05e-05
62,59Ti,109.0,5.87e-07
63,59Cr,503.0,9.6e-05
64,60Mn,271.8,1.77
65,60Co,58.59,628.02
66,61Fe,861.6,2.3800000000000001e-07
67,62Co,22.0,831.5999999999999
68,62Cu,390.12,1.1000000000000001e-08
69,63Ni,87.15,1.6699999999999999e-06
70,63Ga,75.32,2.5000000000000002e-08
71,64V,81.0,1.0000000000000001e-07
72,64Mn,175.5,0.00039999999999999996
73,64Cu,1594.23,2.04e-08
74,64Ga,42.85,2.1899999999999997e-05
75,65Fe,393.7,1.12
76,65Fe,397.56,4.37e-07
77,65Ni,63.37,6.9e-05
78,65Ni,1017.01,2.5600000000000004e-08
79,65Zn,53.928,1.59e-06
80,66Mn,464.5,0.00078
81,66Co,175.0,1.2099999999999998e-06
82,66Co,642.0,9.999999999999999e-05
83,66Ga,43.812,1.8000000000000002e-08
84,66Ga,66.139,2.3e-08
85,66Ga,162.472,1.3e-08
86,66Ga,1464.33,5.7300000000000004e-08
87,66As,1356.63,1.1499999999999998e-06
88,66As,3023.8,7.9e-06
89,67Co,491.54,0.496
90,67Ni,1008.1,1.33e-05
91,67Zn,93.312,9.142e-06
92,67Zn,604.48,3.3300000000000003e-07
93,67Ga,166.98,4.2000000000000006e-08
94,67Ge,18.2,1.37e-05
95,67Ge,751.7,1.46e-07
96,68Ni,1603.5,2.68e-07
97,68Ni,2849.1,0.00086
98,68Ni,4210.0,2.3e-08
99,68Cu,721.26,225.0
100,68Ga,1229.87,6.2e-08
101,68As,425.1,1.07e-07
102,68As,1571.2,1.9e-08
103,68As,2157.8,3.6000000000000005e-08
104,69Ni,321.0,3.5
105,69Ni,2700.0,4.39e-07
106,69Cu,2742.0,3.5700000000000003e-07
107,69Cu,3692.0,2.2000000000000002e-08
108,69Cu,3828.0,3.9000000000000005e-08
109,69Zn,438.636,49521.6
110,69Ge,86.76,5.0999999999999995e-06
111,69Ge,397.94,2.8099999999999998e-06
112,69Se,38.85,2e-06
113,69Se,574.0,9.600000000000001e-07
114,70Ni,2860.0,2.32e-07
115,70Cu,101.1,33.0
116,70Cu,242.6,6.6
117,70Ga,879.1,2.27e-08
118,70As,32.008,9.6e-05
119,70Br,2292.3,2.2
120,71Ni,498.5,2.3
121,71Cu,2755.7,2.7100000000000003e-07
122,71Zn,157.7,14850.0
123,71Ge,174.943,7.9e-08
124,71Ge,198.354,0.02041
125,71As,143.5,5.9000000000000006e-08
126,71As,1000.31,1.9800000000000002e-08
127,71Se,48.79,5.6e-06
128,71Se,260.48,1.8999999999999998e-05
129,71Br,759.06,3.25e-08
130,72Cu,137.32,1.7600000000000002e-08
131,72Cu,270.3,1.7599999999999999e-06
132,72Ga,16.44,3.920000000000001e-08
133,72Ga,119.66,0.03968
134,72Ge,691.43,4.442e-07
135,72As,46.025,1.07e-08
136,72As,213.563,8.500000000000001e-08
137,72As,309.741,2.7e-08
138,72As,318.19,2.7e-08
139,72As,562.85,8.790000000000001e-08
140,72Se,937.22,1.75e-08
141,72Br,101.3,10.6
142,72Kr,671.0,2.6300000000000004e-08
143,73Zn,195.5,0.013000000000000001
144,73Ge,13.2845,2.92e-06
145,73Ge,66.726,0.499
146,73As,427.906,5.7e-06
147,73Se,25.71,2388.0
148,73Br,240.5,3.5e-08
