Isotopes,Energy_Joules,Log10_Energy_Joules
265Hs,2.6844661205626313e12,12.428857927298866
218At,1.6188335965881309e12,12.209202208977144
218Rn,4.2790669354138496e12,12.631349079999593
271Ds,3.311592416320192e13,13.52003687937018
259Sg,1.6334698364675154e12,12.213111119235903
259Rf,5.776075140366908e12,12.761632834290538
214Po,2.2257556685295405e12,12.347477488105897
215At,1.5492889210466926e12,12.190132415251592
218Fr,3.2147575764393447e12,12.507148228524857
214At,1.7013897548821333e12,12.23080381332162
219Fr,2.953523486584982e12,12.470340428741691
263Sg,3.886639406153495e12,12.58957424961449
