,N,Z,A,Elt.,Orig.,Mass excess (keV),Mass excess (uncertainty),Binding energy per nucleon (keV),Binding energy per nucleon (uncertainty),Beta-decay Type,Beta-decay energy (keV),Beta-decay energy (uncertainty),Atomic mass (μu),Atomic mass (uncertainty)
0,1,0.0,1.0,n,NA,8071.31806,0.00044,0.0,0.0,B-,782.347,0.0004,1.0086649159,0.00047
1,0,1.0,1.0,H,NA,7288.971064,0.000013,0.0,0.0,B-,*,NA,1.007825031898,0.000014
2,1,1.0,2.0,H,NA,13135.722895,0.000015,1112.2831,0.0002,B-,*,NA,2.014101777844,0.000015
3,2,1.0,3.0,H,NA,14949.8109,0.00008,2827.2654,0.0003,B-,18.59202,0.00006,3.01604928132,0.00008
4,1,2.0,3.0,He,NA,14931.21888,0.00006,2572.68044,0.00015,B-,-13736.0,2000#,3.01602932197,0.00006
5,0,3.0,3.0,Li,-pp,28667#,2000#,-2267#,667#,B-,*,NA,3.030775,2147#
6,3,1.0,4.0,H,-n,24621.129,100.000,1720.4491,25.0000,B-,22196.2131,100.0000,4.026431867,107.354
7,2,2.0,4.0,He,NA,2424.91587,0.00015,7073.9156,0.0002,B-,-22898.274,212.1320,4.00260325413,0.00016
8,1,3.0,4.0,Li,-p,25323.190,212.132,1153.7603,53.0330,B-,*,NA,4.027185561,227.733
9,4,1.0,5.0,H,-nn,32892.447,89.443,1336.3592,17.8885,B-,21661.2131,91.6515,5.035311492,96.020
10,3,2.0,5.0,He,-n,11231.234,20.000,5512.1325,4.0000,B-,-447.6529,53.8516,5.012057224,21.470
11,2,3.0,5.0,Li,-p,11678.887,50.000,5266.1325,10.0000,B-,-25460.0,2003#,5.0125378,53.677
12,1,4.0,5.0,Be,x,37139#,2003#,18#,401#,B-,*,NA,5.03987,2150#
13,5,1.0,6.0,H,-3n,41875.725,254.127,961.6395,42.3545,B-,24283.6294,254.1268,6.044955437,272.816
14,4,2.0,6.0,He,NA,17592.095,0.053,4878.5199,0.0089,B-,3505.2147,0.0532,6.018885889,0.057
15,3,3.0,6.0,Li,NA,14086.88044,0.00144,5332.3312,0.0003,B-,-4288.1534,5.4478,6.01512288742,0.00155
16,2,4.0,6.0,Be,-,18375.034,5.448,4487.2478,0.9080,B-,-28945.0,2003#,6.0197264090000004,5.848
17,1,5.0,6.0,B,x,47320#,2003#,-467#,334#,B-,*,NA,6.0508,2150#
18,6,1.0,7.0,H,-nn,49135#,1004#,940#,143#,B-,23062.0,1004#,7.052749,1078#
19,5,2.0,7.0,He,-n,26073.128,7.559,4123.0578,1.0799,B-,11166.0229,7.5595,7.027990652,8.115
20,4,3.0,7.0,Li,NA,14907.10463,0.00419,5606.4401,0.0006,B-,-861.893,0.0707,7.01600343426,0.00450
21,3,4.0,7.0,Be,NA,15768.998,0.071,5371.5487,0.0101,B-,-11907.5551,25.1504,7.016928714,0.076
22,2,5.0,7.0,B,p4n,27676.553,25.150,3558.7055,3.5929,B-,*,NA,7.029712,27.000
23,6,2.0,8.0,He,NA,31609.683,0.089,3924.5210,0.0111,B-,10663.8784,0.1005,8.033934388,0.095
24,5,3.0,8.0,Li,NA,20945.805,0.047,5159.7124,0.0059,B-,16004.1329,0.0591,8.022486244,0.050
25,4,4.0,8.0,Be,-a,4941.672,0.035,7062.4356,0.0044,B-,-17979.8973,1.0005,8.005305102,0.037
