FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 09/08/2022 23:17:20
PROJECTILE       : Ba
TARGET           : O 
TARGET AT. MASS  : 1.599940E+01
TARGET DENSITY   : 1.429000E-03 g/cm^3
TABULATED OUTPUT : STOPPING FORCE VERSUS ENERGY
DATA TYPE        : SPLINE INTERPOLATED
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : eV/nm


      E/n             S(E/n)

  1.000000E-03     3.527075E-01
  1.013925E-03     3.550860E-01
  1.028045E-03     3.574959E-01
  1.042361E-03     3.599358E-01
  1.056876E-03     3.624041E-01
  1.071593E-03     3.648991E-01
  1.086516E-03     3.674189E-01
  1.101646E-03     3.699615E-01
  1.116987E-03     3.725247E-01
  1.132541E-03     3.751060E-01
  1.148312E-03     3.777027E-01
  1.164303E-03     3.803125E-01
  1.180517E-03     3.829352E-01
  1.196956E-03     3.855712E-01
  1.213624E-03     3.882212E-01
  1.230524E-03     3.908859E-01
  1.247660E-03     3.935660E-01
  1.265034E-03     3.962624E-01
  1.282650E-03     3.989761E-01
  1.300511E-03     4.017080E-01
  1.318621E-03     4.044591E-01
  1.336984E-03     4.072307E-01
  1.355602E-03     4.100230E-01
  1.374479E-03     4.128358E-01
  1.393619E-03     4.156692E-01
  1.413026E-03     4.185230E-01
  1.432703E-03     4.213971E-01
  1.452654E-03     4.242915E-01
  1.472883E-03     4.272059E-01
  1.493393E-03     4.301405E-01
  1.514189E-03     4.330949E-01
  1.535275E-03     4.360691E-01
  1.556654E-03     4.390632E-01
  1.578331E-03     4.420773E-01
  1.600310E-03     4.451115E-01
  1.622595E-03     4.481660E-01
  1.645191E-03     4.512410E-01
  1.668101E-03     4.543368E-01
  1.691330E-03     4.574535E-01
  1.714882E-03     4.605914E-01
  1.738762E-03     4.637508E-01
  1.762975E-03     4.669320E-01
  1.787526E-03     4.701353E-01
  1.812418E-03     4.733606E-01
  1.837656E-03     4.766080E-01
  1.863246E-03     4.798778E-01
  1.889193E-03     4.831698E-01
  1.915501E-03     4.864844E-01
  1.942175E-03     4.898216E-01
  1.969220E-03     4.931816E-01
  1.996642E-03     4.965646E-01
  2.024447E-03     4.999707E-01
  2.052638E-03     5.034001E-01
  2.081222E-03     5.068530E-01
  2.110203E-03     5.103294E-01
  2.139589E-03     5.138295E-01
  2.169384E-03     5.173535E-01
  2.199593E-03     5.209015E-01
  2.230223E-03     5.244737E-01
  2.261280E-03     5.280704E-01
  2.292769E-03     5.316918E-01
  2.324697E-03     5.353381E-01
  2.357069E-03     5.390096E-01
  2.389893E-03     5.427064E-01
  2.423173E-03     5.464286E-01
  2.456916E-03     5.501763E-01
  2.491130E-03     5.539497E-01
  2.525820E-03     5.577489E-01
  2.560993E-03     5.615742E-01
  2.596656E-03     5.654257E-01
  2.632815E-03     5.693038E-01
  2.669478E-03     5.732085E-01
  2.706652E-03     5.771403E-01
  2.744343E-03     5.810991E-01
  2.782559E-03     5.850851E-01
  2.821308E-03     5.890985E-01
  2.860596E-03     5.931394E-01
  2.900430E-03     5.972080E-01
  2.940820E-03     6.013045E-01
  2.981772E-03     6.054292E-01
  3.023295E-03     6.095822E-01
  3.065395E-03     6.137640E-01
  3.108082E-03     6.179747E-01
  3.151363E-03     6.222145E-01
  3.195248E-03     6.264835E-01
  3.239743E-03     6.307819E-01
  3.284857E-03     6.351099E-01
  3.330600E-03     6.394677E-01
  3.376980E-03     6.438555E-01
  3.424006E-03     6.482736E-01
  3.471687E-03     6.527223E-01
  3.520031E-03     6.572019E-01
  3.569049E-03     6.617126E-01
  3.618750E-03     6.662548E-01
  3.669142E-03     6.708284E-01
  3.720237E-03     6.754337E-01
  3.772042E-03     6.800709E-01
  3.824570E-03     6.847402E-01
  3.877828E-03     6.894418E-01
  3.931829E-03     6.941760E-01
  3.986581E-03     6.989431E-01
  4.042096E-03     7.037435E-01
  4.098384E-03     7.085773E-01
  4.155455E-03     7.134449E-01
  4.213322E-03     7.183464E-01
  4.271994E-03     7.232820E-01
  4.331483E-03     7.282518E-01
  4.391801E-03     7.332562E-01
  4.452959E-03     7.382954E-01
  4.514968E-03     7.433697E-01
  4.577841E-03     7.484795E-01
  4.641589E-03     7.536250E-01
  4.706225E-03     7.588066E-01
  4.771761E-03     7.640246E-01
  4.838210E-03     7.692792E-01
  4.905584E-03     7.745705E-01
  4.973896E-03     7.798988E-01
  5.043159E-03     7.852643E-01
  5.113388E-03     7.906674E-01
  5.184594E-03     7.961083E-01
  5.256791E-03     8.015875E-01
  5.329994E-03     8.071053E-01
  5.404216E-03     8.126621E-01
  5.479472E-03     8.182581E-01
  5.555776E-03     8.238936E-01
  5.633143E-03     8.295688E-01
  5.711586E-03     8.352839E-01
  5.791123E-03     8.410393E-01
  5.871766E-03     8.468352E-01
  5.953533E-03     8.526720E-01
  6.036439E-03     8.585501E-01
  6.120498E-03     8.644699E-01
  6.205729E-03     8.704319E-01
  6.292146E-03     8.764362E-01
  6.379767E-03     8.824832E-01
  6.468608E-03     8.885731E-01
  6.558686E-03     8.947062E-01
  6.650018E-03     9.008827E-01
  6.742622E-03     9.071030E-01
  6.836516E-03     9.133675E-01
  6.931717E-03     9.196765E-01
  7.028244E-03     9.260306E-01
  7.126115E-03     9.324302E-01
  7.225349E-03     9.388756E-01
  7.325965E-03     9.453670E-01
  7.427982E-03     9.519049E-01
  7.531420E-03     9.584894E-01
  7.636298E-03     9.651209E-01
  7.742637E-03     9.717999E-01
  7.850456E-03     9.785267E-01
  7.959777E-03     9.853018E-01
  8.070620E-03     9.921257E-01
  8.183007E-03     9.989989E-01
  8.296959E-03     1.005922E+00
  8.412497E-03     1.012895E+00
  8.529644E-03     1.019918E+00
  8.648423E-03     1.026992E+00
  8.768856E-03     1.034117E+00
  8.890966E-03     1.041293E+00
  9.014776E-03     1.048521E+00
  9.140311E-03     1.055801E+00
  9.267593E-03     1.063133E+00
  9.396648E-03     1.070519E+00
  9.527500E-03     1.077959E+00
  9.660175E-03     1.085452E+00
  9.794697E-03     1.093000E+00
  9.931092E-03     1.100602E+00
  1.006939E-02     1.108260E+00
  1.020961E-02     1.115973E+00
  1.035178E-02     1.123742E+00
  1.049593E-02     1.131568E+00
  1.064209E-02     1.139451E+00
  1.079029E-02     1.147392E+00
  1.094055E-02     1.155392E+00
