FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 08/08/2022 23:55:52
PROJECTILE       : Pt
TARGET           : H 
TABULATED OUTPUT : STOPPING CROSS SECTION VERSUS ENERGY
DATA TYPE        : RAW (ORIGINAL MESH)
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : 10^(-15) eV cm^2


      E/n             S(E/n)

  1.000000E-03     1.277427E+01
  1.149757E-03     1.371615E+01
  1.321941E-03     1.473067E+01
  1.519911E-03     1.582397E+01
  1.747528E-03     1.700306E+01
  2.009233E-03     1.827560E+01
  2.310130E-03     1.965027E+01
  2.656088E-03     2.113603E+01
  3.053856E-03     2.274378E+01
  3.511192E-03     2.448495E+01
  4.037017E-03     2.637248E+01
  4.641589E-03     2.842034E+01
  5.336699E-03     3.064426E+01
  6.135907E-03     3.306063E+01
  7.054802E-03     3.568858E+01
  8.111308E-03     3.854608E+01
  9.326033E-03     4.165579E+01
  1.072267E-02     4.504057E+01
  1.232847E-02     4.872512E+01
  1.417474E-02     5.273744E+01
  1.629751E-02     5.710895E+01
  1.873817E-02     6.187583E+01
  2.154435E-02     6.707950E+01
  2.477076E-02     7.276549E+01
  2.848036E-02     7.898342E+01
  3.274549E-02     8.578331E+01
  3.764936E-02     9.321240E+01
  4.328761E-02     1.013106E+02
  4.977024E-02     1.101076E+02
  5.722368E-02     1.196183E+02
  6.579332E-02     1.298412E+02
  7.564633E-02     1.407564E+02
  8.697490E-02     1.523255E+02
  1.000000E-01     1.644914E+02
  1.149757E-01     1.771758E+02
  1.321941E-01     1.902739E+02
  1.519911E-01     2.036451E+02
  1.747528E-01     2.171200E+02
  2.009233E-01     2.305679E+02
  2.310130E-01     2.440671E+02
  2.656088E-01     2.580538E+02
  3.053856E-01     2.732072E+02
  3.511192E-01     2.900940E+02
  4.037017E-01     3.088907E+02
  4.641589E-01     3.293531E+02
  5.336699E-01     3.508837E+02
  6.135907E-01     3.726198E+02
  7.054802E-01     3.936731E+02
  8.111308E-01     4.133552E+02
  9.326033E-01     4.312011E+02
  1.072267E+00     4.469180E+02
  1.232847E+00     4.603308E+02
  1.417474E+00     4.713581E+02
  1.629751E+00     4.799823E+02
  1.873817E+00     4.862304E+02
  2.154435E+00     4.901601E+02
  2.477076E+00     4.918452E+02
  2.848036E+00     4.913908E+02
  3.274549E+00     4.888819E+02
  3.764936E+00     4.844276E+02
  4.328761E+00     4.781446E+02
  4.977024E+00     4.701463E+02
  5.722368E+00     4.605496E+02
  6.579332E+00     4.494823E+02
  7.564633E+00     4.370677E+02
  8.697490E+00     4.234392E+02
  1.000000E+01     4.087361E+02
  1.149757E+01     3.931026E+02
  1.321941E+01     3.766866E+02
  1.519911E+01     3.596370E+02
  1.747528E+01     3.421159E+02
  2.009233E+01     3.242581E+02
  2.310130E+01     3.062469E+02
  2.656088E+01     2.882266E+02
  3.053856E+01     2.703475E+02
  3.511192E+01     2.527536E+02
  4.037017E+01     2.355801E+02
  4.641589E+01     2.189470E+02
  5.336699E+01     2.029625E+02
  6.135907E+01     1.877163E+02
  7.054802E+01     1.732810E+02
  8.111308E+01     1.597128E+02
  9.326033E+01     1.470470E+02
  1.072267E+02     1.353040E+02
  1.232847E+02     1.244861E+02
  1.417474E+02     1.145810E+02
  1.629751E+02     1.055670E+02
  1.873817E+02     9.740884E+01
  2.154435E+02     9.006495E+01
  2.477076E+02     8.348953E+01
  2.848036E+02     7.763321E+01
  3.274549E+02     7.244517E+01
  3.764936E+02     6.787417E+01
  4.328761E+02     6.387053E+01
  4.977024E+02     6.038703E+01
  5.722368E+02     5.737889E+01
  6.579332E+02     5.480366E+01
  7.564633E+02     5.261857E+01
  8.697490E+02     5.079855E+01
  1.000000E+03     4.928723E+01
