FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 08/08/2022 13:08:35
PROJECTILE       : H 
TARGET           : H 
TABULATED OUTPUT : STOPPING CROSS SECTION VERSUS ENERGY
DATA TYPE        : RAW (ORIGINAL MESH)
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : 10^(-15) eV cm^2


      E/n             S(E/n)

  1.000000E-03     1.813504E+00
  1.149757E-03     1.930489E+00
  1.321941E-03     2.053728E+00
  1.519911E-03     2.183339E+00
  1.747528E-03     2.319372E+00
  2.009233E-03     2.461829E+00
  2.310130E-03     2.610622E+00
  2.656088E-03     2.765596E+00
  3.053856E-03     2.926479E+00
  3.511192E-03     3.092838E+00
  4.037017E-03     3.264134E+00
  4.641589E-03     3.439583E+00
  5.336699E-03     3.618211E+00
  6.135907E-03     3.798780E+00
  7.054802E-03     3.979770E+00
  8.111308E-03     4.159338E+00
  9.326033E-03     4.335250E+00
  1.072267E-02     4.505092E+00
  1.232847E-02     4.665879E+00
  1.417474E-02     4.814520E+00
  1.629751E-02     4.947678E+00
  1.873817E-02     5.061995E+00
  2.154435E-02     5.154216E+00
  2.477076E-02     5.221462E+00
  2.848036E-02     5.261380E+00
  3.274549E-02     5.272365E+00
  3.764936E-02     5.253665E+00
  4.328761E-02     5.205379E+00
  4.977024E-02     5.128472E+00
  5.722368E-02     5.024531E+00
  6.579332E-02     4.895737E+00
  7.564633E-02     4.744478E+00
  8.697490E-02     4.573459E+00
  1.000000E-01     4.385387E+00
  1.149757E-01     4.183002E+00
  1.321941E-01     3.969102E+00
  1.519911E-01     3.746464E+00
  1.747528E-01     3.517961E+00
  2.009233E-01     3.286404E+00
  2.310130E-01     3.054655E+00
  2.656088E-01     2.825420E+00
  3.053856E-01     2.601233E+00
  3.511192E-01     2.384352E+00
  4.037017E-01     2.176684E+00
  4.641589E-01     1.979808E+00
  5.336699E-01     1.794829E+00
  6.135907E-01     1.622458E+00
  7.054802E-01     1.463017E+00
  8.111308E-01     1.316494E+00
  9.326033E-01     1.182573E+00
  1.072267E+00     1.060735E+00
  1.232847E+00     9.503115E-01
  1.417474E+00     8.505269E-01
  1.629751E+00     7.605782E-01
  1.873817E+00     6.796372E-01
  2.154435E+00     6.069099E-01
  2.477076E+00     5.416405E-01
  2.848036E+00     4.831193E-01
  3.274549E+00     4.306980E-01
  3.764936E+00     3.837782E-01
  4.328761E+00     3.418201E-01
  4.977024E+00     3.043238E-01
  5.722368E+00     2.708409E-01
  6.579332E+00     2.409627E-01
  7.564633E+00     2.143201E-01
  8.697490E+00     1.905784E-01
  1.000000E+01     1.694355E-01
  1.149757E+01     1.506186E-01
  1.321941E+01     1.338815E-01
  1.519911E+01     1.190033E-01
  1.747528E+01     1.057846E-01
  2.009233E+01     9.404674E-02
  2.310130E+01     8.362957E-02
  2.656088E+01     7.438896E-02
  3.053856E+01     6.619675E-02
  3.511192E+01     5.893749E-02
  4.037017E+01     5.250828E-02
  4.641589E+01     4.681765E-02
  5.336699E+01     4.178312E-02
  6.135907E+01     3.733173E-02
  7.054802E+01     3.339865E-02
  8.111308E+01     2.992557E-02
  9.326033E+01     2.686052E-02
  1.072267E+02     2.415827E-02
  1.232847E+02     2.177792E-02
  1.417474E+02     1.968338E-02
  1.629751E+02     1.784126E-02
  1.873817E+02     1.622457E-02
  2.154435E+02     1.480753E-02
  2.477076E+02     1.356784E-02
  2.848036E+02     1.248570E-02
  3.274549E+02     1.154364E-02
  3.764936E+02     1.072618E-02
  4.328761E+02     1.001964E-02
  4.977024E+02     9.411762E-03
  5.722368E+02     8.891824E-03
  6.579332E+02     8.450921E-03
  7.564633E+02     8.080030E-03
  8.697490E+02     7.772857E-03
  1.000000E+03     7.519211E-03
