FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 08/08/2022 13:05:22
PROJECTILE       : H 
TARGET           : H 
TABULATED OUTPUT : STOPPING CROSS SECTION VERSUS ENERGY
DATA TYPE        : SPLINE INTERPOLATED
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : 10^(-15) eV cm^2


      E/n             S(E/n)

  1.000000E-03     1.813504E+00
  1.000138E-03     1.813614E+00
  1.000276E-03     1.813724E+00
  1.000415E-03     1.813833E+00
  1.000553E-03     1.813943E+00
  1.000691E-03     1.814053E+00
  1.000829E-03     1.814163E+00
  1.000968E-03     1.814273E+00
  1.001106E-03     1.814382E+00
  1.001244E-03     1.814492E+00
  1.001383E-03     1.814602E+00
  1.001521E-03     1.814712E+00
  1.001659E-03     1.814822E+00
  1.001798E-03     1.814932E+00
  1.001936E-03     1.815042E+00
  1.002075E-03     1.815152E+00
  1.002213E-03     1.815262E+00
  1.002351E-03     1.815372E+00
  1.002490E-03     1.815482E+00
  1.002628E-03     1.815592E+00
  1.002767E-03     1.815702E+00
  1.002906E-03     1.815812E+00
  1.003044E-03     1.815922E+00
  1.003183E-03     1.816032E+00
  1.003321E-03     1.816142E+00
  1.003460E-03     1.816253E+00
  1.003599E-03     1.816363E+00
  1.003737E-03     1.816473E+00
  1.003876E-03     1.816583E+00
  1.004015E-03     1.816693E+00
  1.004153E-03     1.816803E+00
  1.004292E-03     1.816914E+00
  1.004431E-03     1.817024E+00
  1.004570E-03     1.817134E+00
  1.004708E-03     1.817244E+00
  1.004847E-03     1.817355E+00
  1.004986E-03     1.817465E+00
  1.005125E-03     1.817575E+00
  1.005264E-03     1.817685E+00
  1.005403E-03     1.817796E+00
  1.005542E-03     1.817906E+00
  1.005681E-03     1.818016E+00
  1.005819E-03     1.818127E+00
  1.005958E-03     1.818237E+00
  1.006097E-03     1.818348E+00
  1.006236E-03     1.818458E+00
  1.006375E-03     1.818569E+00
  1.006515E-03     1.818679E+00
  1.006654E-03     1.818789E+00
  1.006793E-03     1.818900E+00
  1.006932E-03     1.819010E+00
  1.007071E-03     1.819121E+00
  1.007210E-03     1.819231E+00
  1.007349E-03     1.819342E+00
  1.007488E-03     1.819453E+00
  1.007628E-03     1.819563E+00
  1.007767E-03     1.819674E+00
  1.007906E-03     1.819784E+00
  1.008045E-03     1.819895E+00
  1.008185E-03     1.820006E+00
  1.008324E-03     1.820116E+00
  1.008463E-03     1.820227E+00
  1.008603E-03     1.820337E+00
  1.008742E-03     1.820448E+00
  1.008881E-03     1.820559E+00
  1.009021E-03     1.820670E+00
  1.009160E-03     1.820780E+00
  1.009300E-03     1.820891E+00
  1.009439E-03     1.821002E+00
  1.009578E-03     1.821113E+00
  1.009718E-03     1.821223E+00
  1.009857E-03     1.821334E+00
  1.009997E-03     1.821445E+00
  1.010137E-03     1.821556E+00
  1.010276E-03     1.821667E+00
  1.010416E-03     1.821778E+00
  1.010555E-03     1.821888E+00
  1.010695E-03     1.821999E+00
  1.010835E-03     1.822110E+00
  1.010974E-03     1.822221E+00
  1.011114E-03     1.822332E+00
  1.011254E-03     1.822443E+00
  1.011393E-03     1.822554E+00
  1.011533E-03     1.822665E+00
  1.011673E-03     1.822776E+00
  1.011813E-03     1.822887E+00
