FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 08/08/2022 21:41:28
PROJECTILE       : Mo
TARGET           : Ru
TABULATED OUTPUT : STOPPING CROSS SECTION VERSUS ENERGY
DATA TYPE        : RAW (ORIGINAL MESH)
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : 10^(-15) eV cm^2


      E/n             S(E/n)

  1.000000E-03     1.585911E+02
  1.149757E-03     1.700126E+02
  1.321941E-03     1.822659E+02
  1.519911E-03     1.954116E+02
  1.747528E-03     2.095219E+02
  2.009233E-03     2.246571E+02
  2.310130E-03     2.408993E+02
  2.656088E-03     2.583356E+02
  3.053856E-03     2.770528E+02
  3.511192E-03     2.971506E+02
  4.037017E-03     3.187340E+02
  4.641589E-03     3.419195E+02
  5.336699E-03     3.668318E+02
  6.135907E-03     3.935960E+02
  7.054802E-03     4.223938E+02
  8.111308E-03     4.533522E+02
  9.326033E-03     4.866533E+02
  1.072267E-02     5.224783E+02
  1.232847E-02     5.610353E+02
  1.417474E-02     6.025341E+02
  1.629751E-02     6.472071E+02
  1.873817E-02     6.952923E+02
  2.154435E-02     7.470561E+02
  2.477076E-02     8.027487E+02
  2.848036E-02     8.626730E+02
  3.274549E-02     9.271498E+02
  3.764936E-02     9.965025E+02
  4.328761E-02     1.071025E+03
  4.977024E-02     1.151007E+03
  5.722368E-02     1.236787E+03
  6.579332E-02     1.328785E+03
  7.564633E-02     1.427536E+03
  8.697490E-02     1.533683E+03
  1.000000E-01     1.647968E+03
  1.149757E-01     1.771196E+03
  1.321941E-01     1.904181E+03
  1.519911E-01     2.047685E+03
  1.747528E-01     2.202412E+03
  2.009233E-01     2.368600E+03
  2.310130E-01     2.545956E+03
  2.656088E-01     2.734005E+03
  3.053856E-01     2.932229E+03
  3.511192E-01     3.139906E+03
  4.037017E-01     3.355658E+03
  4.641589E-01     3.577276E+03
  5.336699E-01     3.802599E+03
  6.135907E-01     4.027932E+03
  7.054802E-01     4.247487E+03
  8.111308E-01     4.455306E+03
  9.326033E-01     4.646078E+03
  1.072267E+00     4.815597E+03
  1.232847E+00     4.961250E+03
  1.417474E+00     5.082244E+03
  1.629751E+00     5.178955E+03
  1.873817E+00     5.252279E+03
  2.154435E+00     5.303104E+03
  2.477076E+00     5.332032E+03
  2.848036E+00     5.339431E+03
  3.274549E+00     5.325480E+03
  3.764936E+00     5.290483E+03
  4.328761E+00     5.234907E+03
  4.977024E+00     5.159509E+03
  5.722368E+00     5.065187E+03
  6.579332E+00     4.953063E+03
  7.564633E+00     4.824210E+03
  8.697490E+00     4.679733E+03
  1.000000E+01     4.520724E+03
  1.149757E+01     4.348418E+03
  1.321941E+01     4.164047E+03
  1.519911E+01     3.968945E+03
  1.747528E+01     3.764986E+03
  2.009233E+01     3.554187E+03
  2.310130E+01     3.338483E+03
  2.656088E+01     3.120341E+03
  3.053856E+01     2.902443E+03
  3.511192E+01     2.687200E+03
  4.037017E+01     2.476981E+03
  4.641589E+01     2.274140E+03
  5.336699E+01     2.080604E+03
  6.135907E+01     1.897871E+03
  7.054802E+01     1.727293E+03
  8.111308E+01     1.569689E+03
  9.326033E+01     1.425353E+03
  1.072267E+02     1.294348E+03
  1.232847E+02     1.176316E+03
  1.417474E+02     1.070744E+03
  1.629751E+02     9.768766E+02
  1.873817E+02     8.938157E+02
  2.154435E+02     8.206603E+02
  2.477076E+02     7.564948E+02
  2.848036E+02     7.004336E+02
  3.274549E+02     6.516414E+02
  3.764936E+02     6.093574E+02
  4.328761E+02     5.728942E+02
  4.977024E+02     5.416368E+02
  5.722368E+02     5.150345E+02
  6.579332E+02     4.925838E+02
  7.564633E+02     4.738093E+02
  8.697490E+02     4.582711E+02
  1.000000E+03     4.454035E+02
