Energy	SCS		er	Ref
300.00	25.271	A	0.01	LP74
400.00	27.300	A	0.01	LP74
500.00	28.400	A	0.01	LP74
600.00	28.786	A	0.01	LP74
700.00	28.614	A	0.01	LP74
800.00	28.057	A	0.01	LP74
900.00	27.214	A	0.01	LP74
1000.0	26.229	A	0.01	LP74
1100.0	25.200	A	0.01	LP74
1200.0	24.243	A	0.01	LP74
1300.0	23.343	A	0.01	LP74
1400.0	22.514	A	0.01	LP74
1500.0	21.743	A	0.01	LP74
1600.0	21.014	A	0.01	LP74
1700.0	20.343	A	0.01	LP74
1800.0	19.714	A	0.01	LP74
1900.0	19.129	A	0.01	LP74
2000.0	18.571	A	0.01	LP74
1000.0	25.429	B	0.035	Pl66
1500.0	21.143	B	0.035	Pl66
2000.0	17.000	B	0.035	Pl66
2500.0	14.286	B	0.035	Pl66
3000.0	13.286	B	0.035	Pl66
3500.0	11.857	B	0.035	Pl66
4000.0	10.714	B	0.035	Pl66
4500.0	10.286	B	0.035	Pl66
5000.0	9.5710	B	0.035	Pl66
5500.0	9.0000	B	0.035	Pl66
6000.0	8.2860	B	0.035	Pl66
6500.0	7.7140	B	0.035	Pl66
7000.0	7.2860	B	0.035	Pl66
7500.0	6.8570	B	0.035	Pl66
8000.0	6.4290	B	0.035	Pl66
