energy	SCS	label	ref
MeV/amu	MeV/(mg/cm2		
3.210	30.52	A	Bi78
3.360	31.79	A	
3.460	31.09	A	
4.760	30.11	A	
4.850	30.78	A	
4.960	29.23	A	
24.49	15.40	B	Ga90
25.18	16.30	B	
25.80	15.00	B	
40.13	11.60	C	Ga90
41.86	11.20	C	
42.50	11.10	C	
4.350	30.80	D	Bi80
0.5110	20.72	E	Gs98
0.8773	25.71	E	
0.9179	26.83	E	
1.282	29.63	E	
1.349	31.39	E	
2.500	31.00	E	
4.000	30.50	E	
4.454	30.80	E	
3.472	30.04	E	
3.472	30.08	E	
4.630	29.21	E	
5.783	28.71	E	
8.033	27.57	E	
9.974	25.97	E	
7.200	28.10	F	Han81
7.190	29.50	F	
7.130	27.90	F	
7.100	27.70	F	
7.050	28.10	F	
7.020	29.90	F	
6.890	28.80	F	
6.890	28.20	F	
6.810	27.60	F	
6.740	28.90	F	
6.680	29.20	F	
6.580	28.60	F	
6.550	28.00	F	
6.390	28.80	F	
1.910	34.90	G	Ala00c
2.540	33.40	H	Ala00c
3.520	33.10	H	
0.1500	10.20	I	Trz18
0.2000	12.50	I	
0.3000	16.00	I	
0.4000	18.80	I	
0.5000	21.00	I	
0.6000	22.80	I	
0.7000	24.40	I	
0.8000	25.70	I	
0.9000	26.80	I	
1.000	27.70	I	
1.100	28.50	I	
1.400	30.30	I	
1.800	31.70	I	
0.8478	27.70	J	Mat21
0.8889	28.40	J	
0.9978	30.00	J	
1.048	30.50	J	
