first,second
"(92, 232)",0
"(26, 53)",0
"(30, 68)",0.1845
"(36, 73)",0
"(75, 163)",0
"(80, 183)",0
"(66, 145)",0
"(58, 152)",0
"(85, 193)",0
"(10, 32)",0
"(70, 167)",0
"(41, 85)",0
"(73, 179)",0
"(102, 252)",0
"(58, 134)",0
"(29, 73)",0
"(96, 237)",0
"(86, 231)",0
"(32, 62)",0
"(96, 248)",0
"(101, 251)",0
"(104, 266)",0
"(41, 106)",0
"(57, 131)",0
"(80, 185)",0
"(27, 61)",0
"(67, 169)",0
"(92, 218)",0
"(85, 224)",0
"(42, 97)",0.096
"(93, 227)",0
"(67, 154)",0
"(55, 124)",0
"(51, 120)",0
"(74, 161)",0
"(75, 180)",0
"(57, 142)",0
"(46, 94)",0
"(116, 291)",0
"(42, 91)",0
"(96, 247)",0
"(34, 80)",0.4961
"(69, 157)",0
"(74, 181)",0
"(94, 246)",0
"(92, 221)",0
"(59, 132)",0
"(50, 127)",0
"(64, 162)",0
"(7, 10)",0
"(40, 94)",0.1738
"(77, 164)",0
"(21, 51)",0
"(100, 252)",0
"(100, 243)",0
"(43, 95)",0
"(61, 144)",0
"(80, 187)",0
"(65, 135)",0
"(79, 182)",0
"(9, 18)",0
"(39, 95)",0
"(34, 71)",0
"(45, 106)",0
"(57, 137)",0
"(56, 150)",0
"(23, 57)",0
"(77, 170)",0
"(49, 103)",0
"(92, 225)",0
"(101, 261)",0
"(61, 136)",0
"(72, 153)",0
"(38, 101)",0
"(58, 146)",0
"(20, 35)",0
"(37, 93)",0
"(77, 173)",0
"(103, 256)",0
"(85, 227)",0
"(44, 102)",0.3155
"(79, 188)",0
"(48, 124)",0
"(96, 233)",0
"(10, 28)",0
"(59, 138)",0
"(70, 159)",0
"(51, 117)",0
"(85, 213)",0
"(75, 191)",0
"(66, 150)",0
"(74, 165)",0
"(89, 216)",0
"(15, 45)",0
"(87, 224)",0
"(81, 189)",0
"(48, 108)",0.0089
"(19, 52)",0
"(112, 285)",0
"(54, 147)",0
"(26, 62)",0
"(82, 195)",0
"(111, 279)",0
"(62, 147)",0.1499
"(76, 168)",0
"(15, 39)",0
"(16, 33)",0.0075
"(51, 128)",0
"(26, 54)",0.05845
"(50, 121)",0
"(74, 160)",0
"(15, 43)",0
"(30, 85)",0
"(54, 120)",0
"(55, 134)",0
"(98, 251)",0
"(95, 243)",0
"(52, 136)",0
"(75, 172)",0
"(92, 238)",0.992742
"(75, 193)",0
"(78, 195)",0.3378
"(78, 166)",0
"(73, 174)",0
"(74, 184)",0.3064
"(19, 50)",0
"(33, 80)",0
"(42, 95)",0.1584
"(31, 78)",0
"(81, 216)",0
"(25, 57)",0
"(12, 23)",0
"(50, 118)",0.2422
"(59, 159)",0
"(46, 101)",0
"(86, 217)",0
"(28, 48)",0
"(34, 92)",0
"(69, 179)",0
"(62, 149)",0.1382
"(13, 33)",0
"(55, 116)",0
"(84, 199)",0
"(88, 216)",0
"(97, 252)",0
"(57, 125)",0
"(29, 57)",0
"(60, 147)",0
"(53, 120)",0
"(97, 243)",0
"(87, 227)",0
"(33, 71)",0
"(40, 101)",0
"(30, 72)",0
"(96, 236)",0
"(20, 40)",0.96941
"(28, 79)",0
"(96, 241)",0
"(87, 213)",0
"(84, 214)",0
"(58, 144)",0
"(77, 201)",0
"(48, 98)",0
"(63, 156)",0
"(28, 59)",0
"(54, 117)",0
"(61, 141)",0
"(41, 93)",1.0
"(11, 34)",0
"(65, 161)",0
"(65, 148)",0
"(58, 136)",0.00185
"(51, 135)",0
"(54, 128)",0.019102
"(62, 128)",0
"(55, 146)",0
"(60, 149)",0
"(83, 202)",0
"(101, 262)",0
"(14, 42)",0
"(89, 211)",0
"(48, 116)",0.0749
"(20, 46)",4.0e-5
"(31, 82)",0
"(83, 219)",0
"(53, 117)",0
"(32, 90)",0
"(68, 158)",0
"(52, 141)",0
"(71, 176)",0.02599
"(89, 226)",0
"(71, 155)",0
"(91, 237)",0
"(18, 44)",0
"(90, 210)",0
"(14, 30)",0.03092
"(45, 93)",0
"(37, 98)",0
"(53, 128)",0
"(32, 78)",0
"(71, 178)",0
"(43, 100)",0
"(69, 151)",0
"(39, 100)",0
"(33, 92)",0
"(73, 163)",0
"(15, 41)",0
"(65, 142)",0
"(60, 128)",0
"(26, 47)",0
"(65, 165)",0
"(43, 105)",0
"(38, 104)",0
"(34, 64)",0
"(44, 121)",0
"(39, 105)",0
"(68, 145)",0
"(41, 108)",0
"(81, 211)",0
"(30, 61)",0
"(9, 17)",0
"(92, 220)",0
"(65, 160)",0
"(88, 211)",0
"(70, 153)",0
"(1, 2)",0.000115
"(54, 135)",0
"(69, 174)",0
"(5, 20)",0
"(18, 36)",0.003336
"(62, 135)",0
"(73, 180)",0.0001201
"(44, 118)",0
"(49, 110)",0
"(88, 226)",0
"(82, 179)",0
"(65, 137)",0
"(19, 35)",0
"(35, 90)",0
"(56, 140)",0
"(55, 144)",0
"(107, 265)",0
"(49, 107)",0
"(58, 141)",0
"(100, 245)",0
"(109, 269)",0
"(37, 77)",0
"(63, 166)",0
"(67, 167)",0
"(98, 244)",0
"(86, 206)",0
"(10, 31)",0
"(64, 147)",0
"(91, 230)",0
"(36, 96)",0
"(45, 124)",0
"(35, 78)",0
"(55, 136)",0
"(76, 195)",0
"(84, 200)",0
"(45, 108)",0
"(85, 201)",0
"(76, 166)",0
"(78, 179)",0
"(91, 233)",0
"(66, 140)",0
"(44, 96)",0.0554
"(75, 164)",0
"(42, 100)",0.0982
"(46, 104)",0.1114
"(90, 209)",0
"(32, 82)",0
"(113, 283)",0
"(79, 202)",0
"(31, 81)",0
"(16, 47)",0
"(53, 135)",0
"(85, 215)",0
"(59, 153)",0
"(50, 103)",0
"(42, 105)",0
"(83, 207)",0
"(75, 170)",0
"(107, 267)",0
"(8, 14)",0
"(28, 70)",0
"(9, 24)",0
"(28, 55)",0
"(40, 104)",0
"(60, 135)",0
"(41, 98)",0
"(81, 203)",0.2952
"(83, 190)",0
"(74, 192)",0
"(22, 42)",0
"(75, 173)",0
"(64, 149)",0
"(73, 191)",0
"(23, 48)",0
"(33, 64)",0
"(95, 245)",0
"(88, 203)",0
"(68, 150)",0
"(49, 111)",0
"(51, 131)",0
"(63, 157)",0
"(19, 40)",0.000117
"(82, 198)",0
"(26, 51)",0
"(46, 122)",0
"(12, 26)",0.1101
"(73, 172)",0
"(32, 88)",0
"(35, 82)",0
"(6, 21)",0
"(23, 59)",0
"(87, 201)",0
"(3, 12)",0
"(67, 159)",0
"(91, 236)",0
"(45, 98)",0
"(77, 196)",0
"(97, 245)",0
"(61, 139)",0
"(91, 241)",0
"(109, 273)",0
"(104, 259)",0
"(69, 163)",0
"(16, 34)",0.0425
"(78, 198)",0.07356
"(57, 127)",0
"(87, 215)",0
"(54, 148)",0
"(43, 102)",0
"(62, 161)",0
"(34, 84)",0
"(62, 148)",0.1124
"(84, 204)",0
"(39, 102)",0
"(59, 130)",0
"(17, 42)",0
"(55, 141)",0
"(20, 38)",0
"(59, 123)",0
"(51, 137)",0
"(103, 264)",0
"(92, 222)",0
"(32, 81)",0
"(101, 250)",0
"(19, 46)",0
"(25, 48)",0
"(45, 116)",0
"(14, 45)",0
"(90, 237)",0
"(89, 234)",0
"(114, 285)",0
"(17, 30)",0
"(14, 39)",0
"(52, 139)",0
"(66, 168)",0
"(89, 235)",0
"(36, 79)",0
"(96, 249)",0
"(79, 207)",0
"(35, 88)",0
"(2, 4)",0.99999866
"(13, 34)",0
"(14, 43)",0
"(78, 174)",0
"(104, 258)",0
"(107, 266)",0
"(37, 94)",0
"(84, 210)",0
"(47, 109)",0.48161
"(54, 131)",0.212324
"(79, 190)",0
"(62, 131)",0
"(25, 59)",0
"(3, 9)",0
"(60, 161)",0
"(60, 148)",0.05756
"(103, 251)",0
"(29, 79)",0
"(9, 22)",0
"(57, 121)",0
"(81, 182)",0
"(54, 142)",0
"(12, 35)",0
"(69, 152)",0
"(62, 142)",0
"(62, 165)",0
"(80, 195)",0
"(44, 103)",0
"(29, 59)",0
"(46, 115)",0
"(19, 32)",0
"(49, 126)",0
"(64, 135)",0
"(91, 231)",1.0
"(24, 64)",0
"(28, 75)",0
"(83, 194)",0
"(99, 252)",0
"(42, 102)",0
"(86, 218)",0
"(35, 81)",0.4931
"(52, 122)",0.0255
"(88, 234)",0
"(99, 243)",0
"(62, 160)",0
"(81, 188)",0
"(51, 105)",0
"(116, 293)",0
"(57, 118)",0
"(76, 179)",0
"(53, 131)",0
"(77, 176)",0
"(90, 230)",0
"(72, 162)",0
"(85, 205)",0
"(88, 235)",0
"(48, 101)",0
"(47, 119)",0
"(33, 84)",0
"(58, 139)",0
"(51, 125)",0
"(54, 137)",0
"(77, 178)",0
"(56, 126)",0
"(62, 137)",0
"(86, 221)",0
"(60, 131)",0
"(53, 142)",0
"(90, 233)",0
"(30, 77)",0
"(63, 133)",0
"(47, 113)",0
"(103, 261)",0
"(85, 196)",0
"(102, 255)",0
"(60, 142)",0.27152
"(69, 172)",0
"(66, 156)",0.00056
"(98, 250)",0
"(34, 76)",0.0937
"(86, 225)",0
"(27, 66)",0
"(84, 209)",0
"(21, 42)",0
"(23, 55)",0
"(60, 160)",0
"(50, 110)",0
"(53, 137)",0
"(113, 286)",0
"(41, 94)",0
"(57, 145)",0
"(50, 107)",0
"(58, 122)",0
"(12, 40)",0
"(83, 208)",0
"(32, 89)",0
"(83, 223)",0
"(109, 268)",0
"(69, 146)",0
"(15, 37)",0
"(37, 101)",0
"(22, 45)",0
"(60, 137)",0
"(46, 114)",0
"(6, 18)",0
"(22, 39)",0
"(63, 151)",0.4781
"(67, 153)",0
"(82, 180)",0
"(31, 65)",0
"(73, 164)",0
"(87, 205)",0
"(72, 171)",0
"(83, 212)",0
"(22, 43)",0
"(100, 255)",0
"(74, 158)",0
"(76, 198)",0
"(14, 41)",0
"(71, 169)",0
"(61, 155)",0
"(52, 115)",0
"(8, 12)",0
"(71, 154)",0
"(104, 260)",0
"(90, 236)",0
"(73, 170)",0
"(77, 186)",0
"(54, 125)",0
"(79, 194)",0
"(38, 80)",0
"(78, 180)",0
"(45, 94)",0
"(64, 161)",0
"(64, 148)",0
"(73, 173)",0
"(43, 118)",0
"(101, 257)",0
"(36, 70)",0
"(25, 70)",0
"(25, 55)",1.0
"(96, 239)",0
"(7, 11)",0
"(19, 38)",0
"(27, 56)",0
"(35, 89)",0
"(91, 217)",0
"(112, 278)",0
"(20, 56)",0
"(55, 139)",0
"(50, 111)",0
"(76, 174)",0
"(17, 45)",0
"(29, 70)",0
"(15, 27)",0
"(31, 69)",0.60108
"(29, 55)",0
"(33, 76)",0
"(18, 52)",0
"(98, 242)",0
"(17, 39)",0
"(43, 96)",0
"(53, 125)",0
"(82, 191)",0
"(39, 96)",0
"(100, 246)",0
"(17, 43)",0
"(66, 166)",0
"(69, 144)",0
"(57, 150)",0
"(60, 125)",0
"(75, 196)",0
"(92, 243)",0
"(80, 179)",0
"(41, 101)",0
"(12, 32)",0
"(103, 262)",0
"(78, 191)",0
"(18, 50)",0
"(64, 142)",0
