E(MeV),xs(mb)
10.0,0.0
10.5,1.2194e-16
11.0,1.5995e-14
11.5,7.846400000000001e-13
12.0,3.9986999999999996e-11
12.5,1.1752e-9
13.0,3.9217e-8
13.5,1.85657e-6
14.0,9.999100000000001e-5
14.5,0.0047262300000000005
15.0,0.0468408
16.0,0.41995
17.0,1.26255
18.0,2.43974
19.0,3.68937
20.0,4.8513
21.0,5.86485
22.0,6.65071
23.0,7.25377
24.0,7.83597
25.0,8.26798
26.0,8.67468
27.0,9.08727
28.0,9.41446
29.0,9.73367
30.0,9.99361
32.0,10.3487
34.0,10.736699999999999
36.0,11.0733
38.0,11.3686
40.0,11.6722
42.0,11.949300000000001
44.0,12.292000000000002
46.0,12.645999999999999
48.0,13.0706
50.0,13.6195
52.0,14.294
54.0,15.1904
56.0,16.3326
58.0,17.7538
60.0,19.4966
65.0,25.461999999999996
70.0,33.2604
75.0,39.4227
80.0,39.6242
90.0,27.7914
100.0,18.834500000000002
110.00000000000001,14.962800000000001
120.0,12.8684
130.0,11.5097
140.0,10.5692
150.0,9.85227
160.0,9.28399
180.0,8.23619
200.0,7.25686
