E(MeV),xs(mb)
27.7637,0.0
28.0,0.573877
29.0,14.118500000000001
30.0,51.2945
30.0,51.2949
32.0,183.111
34.0,320.51099999999997
36.0,414.93399999999997
38.0,459.71500000000003
40.0,451.839
42.0,400.542
44.0,323.68899999999996
46.0,251.72500000000002
48.0,189.272
50.0,146.184
52.0,118.947
54.0,100.316
56.0,85.7935
58.0,77.28620000000001
60.0,72.7109
65.0,59.342499999999994
70.0,57.7852
75.0,53.009100000000004
80.0,52.506
90.0,47.3565
100.0,43.9525
110.00000000000001,41.2008
120.0,38.3728
130.0,36.3479
140.0,34.4775
150.0,31.2868
160.0,28.317
180.0,23.625500000000002
200.0,19.473
