E(MeV),xs(mb)
25.336599999999997,0.0
26.0,0.0029452500000000004
27.0,0.05279880000000001
28.0,0.203463
29.0,0.464025
30.0,0.8123100000000001
30.0,0.8123100000000001
32.0,1.58858
34.0,2.34757
36.0,2.98327
38.0,3.41873
40.0,3.71817
42.0,3.83817
44.0,3.91525
46.0,3.91107
48.0,3.80728
50.0,3.72074
52.0,3.59722
54.0,3.46268
56.0,3.30897
58.0,3.21073
60.0,3.13566
65.0,2.92804
70.0,2.74837
75.0,2.56764
80.0,2.43424
90.0,2.20652
100.0,1.93143
110.00000000000001,1.69184
120.0,1.49251
130.0,1.32687
140.0,1.24136
150.0,1.16568
160.0,1.09569
180.0,0.980144
200.0,0.8908720000000001
