E(MeV),xs(mb)
5.97658,0.0
6.0,0.009980180000000002
6.2,0.7823260000000001
6.4,3.53217
6.6,7.98214
6.8,12.9324
7.0,17.4162
7.2,21.0865
7.4,24.0663
7.6,26.4506
7.8,28.518500000000003
8.0,30.469499999999996
8.5,36.084900000000005
9.0,47.885600000000004
9.5,75.3623
10.0,124.21
10.5,189.256
11.0,252.53199999999998
11.5,296.496
12.0,321.324
12.5,332.801
13.0,334.483
13.5,328.24399999999997
14.0,315.61400000000003
14.5,298.41
15.0,277.873
16.0,234.54100000000003
17.0,196.665
18.0,167.79500000000002
19.0,148.112
20.0,134.983
21.0,126.43299999999999
22.0,121.185
23.0,117.46700000000001
24.0,115.029
25.0,112.85799999999999
26.0,111.317
27.0,109.594
28.0,108.244
29.0,106.758
30.0,105.547
30.0,20.0714
32.0,18.9605
34.0,18.9174
36.0,19.2158
38.0,19.671
40.0,20.092599999999997
42.0,20.130200000000002
44.0,19.8587
46.0,19.3289
48.0,18.7185
50.0,18.0714
52.0,17.468
54.0,16.875
56.0,16.3388
58.0,15.785800000000002
60.0,15.317799999999998
65.0,14.3353
70.0,13.655
75.0,13.2691
80.0,12.9289
90.0,12.3726
100.0,11.577900000000001
110.00000000000001,10.8666
120.0,10.1237
130.0,9.46515
140.0,8.90164
150.0,8.43883
160.0,7.42945
180.0,6.59715
200.0,8.61682
