E(MeV),xs(mb)
18.9145,0.0
19.0,0.00350418
20.0,1.19262
21.0,7.07313
22.0,19.5669
23.0,38.2492
24.0,60.171400000000006
25.0,82.4203
26.0,101.64
27.0,117.332
28.0,129.118
29.0,134.68800000000002
30.0,139.683
30.0,139.685
32.0,142.926
34.0,139.547
36.0,131.841
38.0,123.03200000000001
40.0,114.433
42.0,106.69999999999999
44.0,100.45500000000001
46.0,93.97399999999999
48.0,88.47049999999999
50.0,82.6403
52.0,77.71969999999999
54.0,72.98440000000001
56.0,68.811
58.0,65.6517
60.0,62.329
65.0,56.23440000000001
70.0,50.4972
75.0,46.2958
80.0,42.0521
90.0,35.4207
100.0,30.032899999999998
110.00000000000001,25.7196
120.0,22.471600000000002
130.0,19.6796
140.0,17.414099999999998
150.0,15.530299999999999
160.0,13.6842
180.0,11.214500000000001
200.0,9.42842
