E(MeV),xs(mb)
29.409,0.0
30.0,0.12480500000000001
30.0,0.124806
32.0,9.26321
34.0,47.2227
36.0,114.21699999999998
38.0,188.59
40.0,246.176
42.0,279.517
44.0,284.362
46.0,264.904
48.0,231.47099999999998
50.0,194.659
52.0,160.387
54.0,131.96699999999998
56.0,109.322
58.0,92.3328
60.0,79.9727
65.0,63.09179999999999
70.0,54.702200000000005
75.0,50.4191
80.0,47.203
90.0,43.212900000000005
100.0,39.6995
110.00000000000001,34.0766
120.0,29.2144
130.0,25.0655
140.0,22.022499999999997
150.0,18.9503
160.0,17.6766
180.0,16.0659
200.0,14.8301
