E(MeV),xs(mb)
23.260299999999997,0.0
24.0,3.19783
25.0,41.3788
26.0,154.69299999999998
27.0,344.609
28.0,583.383
29.0,824.8879999999999
30.0,1040.21
30.0,1040.27
32.0,1245.69
34.0,1259.7
36.0,1035.16
38.0,728.0
40.0,474.841
42.0,312.647
44.0,220.96
46.0,172.393
48.0,147.173
50.0,133.125
52.0,123.17899999999999
54.0,116.727
56.0,111.982
58.0,108.82799999999999
60.0,105.328
65.0,98.8237
70.0,93.8067
75.0,89.5158
80.0,86.1595
90.0,80.7491
100.0,75.0596
110.00000000000001,70.8074
120.0,66.9315
130.0,63.3755
140.0,60.498900000000006
150.0,58.068400000000004
160.0,55.717600000000004
180.0,51.5747
200.0,47.908
