E(MeV),xs(mb)
12.503599999999999,0.0
12.6,5.7083e-7
12.6016,6.2168e-7
12.603100000000001,6.766e-7
12.6046,7.358799999999999e-7
12.6061,7.9983e-7
12.607600000000001,8.687799999999999e-7
12.6091,9.4306e-7
12.610600000000002,1.02303e-6
12.6121,1.10908e-6
12.6135,1.2016199999999998e-6
12.615,1.30105e-6
12.6164,1.40784e-6
12.617799999999999,1.5224599999999998e-6
12.619299999999999,1.6454e-6
12.6221,1.91954e-6
12.6248,2.23396e-6
12.627500000000001,2.5937399999999997e-6
12.6302,3.00443e-6
12.6328,3.47218e-6
12.6354,4.00368e-6
12.638,4.60628e-6
12.6405,5.2879799999999995e-6
12.643,6.057489999999999e-6
12.6454,6.9242699999999995e-6
12.6478,7.898549999999999e-6
12.6502,8.9914e-6
12.6525,1.0214800000000001e-5
12.6548,1.15815e-5
12.6571,1.3105300000000001e-5
12.6593,1.4801000000000001e-5
12.6615,1.66844e-5
12.663599999999999,1.8772200000000003e-5
12.6657,2.10824e-5
12.6678,2.36341e-5
12.6699,2.6447300000000003e-5
12.6719,2.95435e-5
12.6739,3.2945000000000004e-5
12.6759,3.6675700000000005e-5
12.6778,4.076050000000001e-5
12.6797,4.522560000000001e-5
12.6816,5.00983e-5
12.6834,5.540740000000001e-5
12.685200000000002,6.11827e-5
12.687,6.745540000000001e-5
12.6888,7.4258e-5
12.6905,8.162380000000002e-5
12.6922,8.958790000000002e-5
12.6939,9.818600000000001e-5
12.6955,0.000107455
12.697199999999999,0.000117434
12.6987,0.000128162
12.7003,0.00013967799999999999
12.701899999999998,0.00015202500000000002
12.7034,0.000165245
12.704899999999999,0.00017938
12.7064,0.000194475
12.7078,0.000210574
12.709299999999999,0.000227722
12.7121,0.000265671
12.7149,0.00030845600000000003
12.7175,0.00035646300000000006
12.7201,0.000410084
12.7226,0.00046970900000000007
12.725,0.000535726
12.7273,0.000608517
12.729600000000001,0.0006884500000000001
12.7318,0.000775886
12.7339,0.0008711650000000001
12.736,0.0009746100000000001
12.738,0.0010865199999999999
12.739899999999999,0.00120718
12.741800000000001,0.0013368199999999998
12.743599999999999,0.00147568
12.7453,0.00162394
12.747,0.00178176
12.7487,0.00194926
12.750300000000001,0.0021265200000000002
12.751900000000001,0.0023136000000000003
12.7534,0.00251052
12.7548,0.00271725
12.7576,0.00316748
12.7603,0.0036571
12.7627,0.00418464
12.7651,0.004748120000000001
12.767299999999999,0.00534511
12.7693,0.0059727800000000004
12.7712,0.00662801
12.773000000000001,0.007307419999999999
12.774700000000001,0.00800749
12.7763,0.0087246
12.7778,0.0094551
12.7805,0.0109937
12.783,0.012544
12.7851,0.0140788
12.786999999999999,0.0155751
12.7886,0.0170142
12.7914,0.0198599
12.793600000000001,0.0223025
12.7952,0.0243296
12.7976,0.0277209
12.8,0.0315849
12.8062,0.036685
12.8122,0.042409800000000004
12.818000000000001,0.0488064
12.8237,0.0559216
12.8292,0.0638023
12.8345,0.0724942
12.8396,0.0820422
12.8446,0.0924893
12.8494,0.103877
12.854099999999999,0.116244
12.8586,0.12962700000000002
12.863,0.14406000000000002
12.8673,0.15957200000000002
12.8714,0.17619100000000001
12.875399999999999,0.193939
12.8793,0.21283500000000002
12.883,0.232895
12.8867,0.254129
12.8902,0.276544
12.893600000000001,0.30014300000000005
12.8969,0.32492200000000004
12.9033,0.378904
12.9094,0.43763100000000005
12.915000000000001,0.500928
12.920300000000001,0.568559
12.9253,0.640234
12.9299,0.715614
12.9343,0.7943250000000001
12.938400000000001,0.8759610000000001
12.9422,0.960099
12.9458,1.0463
12.949200000000001,1.13414
12.9556,1.31918
12.961100000000002,1.50571
12.966,1.69042
12.9702,1.87055
12.9739,2.04383
12.980400000000001,2.3866
12.985299999999999,2.6809
12.988999999999999,2.92521
12.9945,3.33404
13.0,3.8
13.0497,4.30556
13.0871,4.72839
13.1434,5.44177
13.200000000000001,6.26277
13.2497,6.9259
13.3246,8.05456
13.4,9.36714
13.499600000000001,10.9287
13.600000000000001,12.7505
13.6996,14.210700000000001
13.799999999999999,15.838099999999999
14.0,18.0
14.2,19.610300000000002
14.399999999999999,21.3766
14.6,23.245800000000003
14.8,25.148799999999998
15.0,27.0
15.2,28.863300000000002
15.4,30.842299999999998
15.600000000000001,32.894
15.8,34.966499999999996
16.0,37.0
16.200000000000003,38.967999999999996
16.4,40.8841
16.599999999999998,42.7431
16.8,44.5415
17.0,46.277
17.2,47.9481
17.4,49.5547
17.6,51.0978
17.8,52.5787
18.0,54.0
18.2,55.334399999999995
18.400000000000002,56.5511
18.6,57.648
18.799999999999997,58.6242
19.0,59.479800000000004
19.2,60.215500000000006
19.4,60.832800000000006
19.6,61.334
19.8,61.7219
20.0,62.0
