E(MeV),xs(mb)
16.1991,0.0
17.0,2.93293
18.0,33.5865
19.0,130.149
20.0,307.779
21.0,544.312
22.0,780.481
23.0,975.165
24.0,1119.72
25.0,1216.9
26.0,1277.15
27.0,1310.32
28.0,1312.09
29.0,1272.99
30.0,1185.83
30.0,1186.94
32.0,913.251
34.0,634.87
36.0,436.97800000000007
38.0,319.514
40.0,257.90700000000004
42.0,223.598
44.0,204.04399999999998
46.0,191.11
48.0,181.165
50.0,173.373
52.0,165.81
54.0,158.816
56.0,152.198
58.0,147.144
60.0,142.58599999999998
65.0,134.179
70.0,126.173
75.0,118.20600000000002
80.0,112.14699999999999
90.0,101.176
100.0,93.06179999999999
110.00000000000001,86.35849999999999
120.0,80.79090000000001
130.0,75.8335
140.0,70.9964
150.0,66.947
160.0,63.4401
180.0,52.9844
200.0,45.0035
