E(MeV),xs(mb)
7.49849,0.0
27.0,18.941699999999997
28.0,31.5516
29.0,39.608599999999996
30.0,44.982600000000005
30.0,44.982600000000005
32.0,46.6461
34.0,42.409400000000005
36.0,35.9438
38.0,29.170099999999998
40.0,23.6889
42.0,19.2732
44.0,15.994600000000002
46.0,13.180700000000002
48.0,11.1135
50.0,9.45413
52.0,8.34932
54.0,7.29007
56.0,6.45573
58.0,5.83235
60.0,5.38719
65.0,4.41458
70.0,3.71726
75.0,3.10734
80.0,2.81033
90.0,2.20818
100.0,1.81963
110.00000000000001,1.41111
120.0,1.19623
130.0,0.968871
140.0,0.8365170000000002
150.0,0.703187
160.0,0.619392
180.0,0.48830700000000005
200.0,0.41274
