E(MeV),xs(mb)
15.2065,0.0
16.0,32.1969
17.0,191.81900000000002
18.0,514.71
19.0,909.5079999999999
20.0,1239.73
21.0,1493.5400000000002
22.0,1652.94
23.0,1748.56
24.0,1799.94
25.0,1805.32
26.0,1733.23
27.0,1576.01
28.0,1350.93
29.0,1120.1399999999999
30.0,889.0079999999999
30.0,890.7299999999999
32.0,569.025
34.0,405.868
36.0,336.924
38.0,300.854
40.0,278.205
42.0,264.814
44.0,251.69100000000003
46.0,241.662
48.0,227.968
50.0,219.70399999999998
52.0,210.80100000000002
54.0,202.11999999999998
56.0,197.43
58.0,190.37800000000001
60.0,186.291
65.0,177.22299999999998
70.0,168.012
75.0,160.077
80.0,153.448
90.0,141.463
100.0,131.273
110.00000000000001,123.543
120.0,116.91
130.0,109.60799999999999
140.0,104.92099999999999
150.0,98.2644
160.0,91.54400000000001
180.0,76.9579
200.0,68.3676
