E(MeV),xs(mb)
5.50317,0.0
5.6,6.85945
5.8,68.8714
6.0,184.659
6.2,316.221
6.4,459.81600000000003
6.6,597.525
6.8,734.865
7.0,869.49
7.2,987.8310000000001
7.4,1092.06
7.6,1173.6299999999999
7.8,1238.02
8.0,1286.14
8.5,1351.1200000000001
9.0,1370.23
9.5,1370.75
10.0,1363.28
10.5,1350.59
11.0,1332.87
11.5,1310.3400000000001
12.0,1286.99
12.5,1255.8
13.0,1193.29
13.5,1098.98
14.0,976.2510000000001
14.5,851.599
15.0,736.653
16.0,565.191
17.0,463.12100000000004
18.0,403.749
19.0,368.365
20.0,344.205
21.0,325.523
22.0,311.606
23.0,298.875
24.0,288.375
25.0,280.854
26.0,272.237
27.0,265.765
28.0,257.739
29.0,252.07700000000003
30.0,244.441
30.0,68.2644
32.0,64.5823
34.0,59.967800000000004
36.0,55.7727
38.0,52.219899999999996
40.0,48.7602
42.0,45.839
44.0,43.3742
46.0,41.6284
48.0,39.8969
50.0,38.5924
52.0,38.4458
54.0,37.2609
56.0,36.0272
58.0,35.0257
60.0,34.2847
65.0,32.0811
70.0,30.3518
75.0,28.9385
80.0,27.5236
90.0,25.1064
100.0,22.6718
110.00000000000001,20.8591
120.0,18.9772
130.0,17.5962
140.0,16.042099999999998
150.0,15.2065
160.0,14.437999999999999
180.0,13.7588
200.0,15.7653
