E(MeV),xs(mb)
19.2184,0.0
20.0,7.66005
21.0,41.559799999999996
22.0,117.306
23.0,206.208
24.0,295.205
25.0,374.484
26.0,436.993
27.0,479.471
28.0,505.55
29.0,527.888
30.0,536.0
30.0,536.015
32.0,531.828
34.0,497.79799999999994
36.0,442.286
38.0,382.935
40.0,332.23199999999997
42.0,288.948
44.0,258.61
46.0,234.37
48.0,214.799
50.0,198.25900000000001
52.0,187.278
54.0,175.048
56.0,167.261
58.0,158.808
60.0,150.345
65.0,138.482
70.0,128.968
75.0,117.847
80.0,108.99000000000001
90.0,92.8617
100.0,78.9633
110.00000000000001,70.0002
120.0,61.953500000000005
130.0,54.9006
140.0,48.991800000000005
150.0,44.4536
160.0,39.6286
180.0,32.9047
200.0,27.038700000000002
