E(MeV),xs(mb)
13.9733,0.0
19.0,0.107842
20.0,14.648399999999999
21.0,48.428399999999996
22.0,92.8212
23.0,146.412
24.0,189.137
25.0,222.62900000000002
26.0,246.32999999999998
27.0,262.275
28.0,271.08599999999996
29.0,275.062
30.0,274.987
30.0,274.988
32.0,267.979
34.0,254.184
36.0,235.074
38.0,214.589
40.0,194.228
42.0,174.41299999999998
44.0,156.83700000000002
46.0,141.767
48.0,128.322
50.0,116.95100000000001
52.0,107.344
54.0,99.1128
56.0,92.10610000000001
58.0,85.922
60.0,80.2941
65.0,69.585
70.0,61.2998
75.0,54.9381
80.0,50.0092
90.0,41.0255
100.0,33.468
110.00000000000001,28.307000000000002
120.0,24.1891
130.0,21.0
140.0,18.4574
150.0,16.4257
160.0,14.744
180.0,12.2354
200.0,10.469999999999999
