E(MeV),xs(mb)
8.56876,0.0
9.0,6.5453
9.5,25.5317
10.0,51.7557
10.5,80.3199
11.0,103.52699999999999
11.5,120.37299999999999
12.0,130.569
12.5,134.677
13.0,136.06
13.5,136.897
14.0,138.81799999999998
14.5,142.321
15.0,146.409
16.0,154.697
17.0,159.514
18.0,161.08599999999998
19.0,160.782
20.0,161.47199999999998
21.0,158.407
22.0,154.147
23.0,148.444
24.0,142.668
25.0,137.625
26.0,131.931
27.0,127.52300000000001
28.0,122.49600000000001
29.0,119.659
30.0,115.91199999999999
30.0,115.964
32.0,109.06899999999999
34.0,101.69399999999999
36.0,95.03479999999999
38.0,87.9699
40.0,81.2382
42.0,75.6471
44.0,70.8284
46.0,65.7533
48.0,61.4818
50.0,58.2881
52.0,55.6601
54.0,52.203799999999994
56.0,49.4183
58.0,46.61749999999999
60.0,44.4233
65.0,39.0486
70.0,34.544399999999996
75.0,30.4978
80.0,26.8755
90.0,21.7904
100.0,17.711
110.00000000000001,15.072799999999999
120.0,12.7881
130.0,10.9101
140.0,9.80718
150.0,8.95275
160.0,8.20074
180.0,7.04854
200.0,6.36599
