E(MeV),xs(mb)
25.1978,0.0
26.0,0.849391
27.0,10.964100000000002
28.0,43.9342
29.0,104.39099999999999
30.0,186.907
30.0,186.909
32.0,365.772
34.0,509.36
36.0,595.97
38.0,618.9390000000001
40.0,579.45
42.0,507.68399999999997
44.0,424.728
46.0,350.704
48.0,292.118
50.0,251.03900000000002
52.0,221.89199999999997
54.0,199.515
56.0,184.076
58.0,171.913
60.0,163.87
65.0,147.243
70.0,134.921
75.0,124.566
80.0,116.12599999999999
90.0,104.15
100.0,95.7504
110.00000000000001,89.86760000000001
120.0,81.5486
130.0,74.3068
140.0,67.5632
150.0,62.0929
160.0,56.4598
180.0,48.4739
200.0,41.8022
