E(MeV),xs(mb)
17.9504,0.0
18.0,0.139436
19.0,16.4228
20.0,101.86599999999999
21.0,267.403
22.0,478.204
23.0,677.955
24.0,827.179
25.0,934.826
26.0,1003.2700000000001
27.0,1041.7
28.0,1061.1299999999999
29.0,1067.39
30.0,1057.08
30.0,1058.09
32.0,947.818
34.0,747.797
36.0,558.885
38.0,425.71399999999994
40.0,346.741
42.0,300.14300000000003
44.0,270.994
46.0,251.20499999999998
48.0,234.962
50.0,222.697
52.0,211.65099999999998
54.0,202.154
56.0,192.208
58.0,185.871
60.0,179.238
65.0,167.024
70.0,156.391
75.0,147.173
80.0,139.31
90.0,126.79499999999999
100.0,116.478
110.00000000000001,106.371
120.0,94.9548
130.0,85.412
140.0,77.5988
150.0,70.64110000000001
160.0,64.516
180.0,54.4311
200.0,46.1177
