E(MeV),xs(mb)
6.19642,0.0
6.2,0.0394141
6.4,36.4219
6.6,156.063
6.8,326.199
7.0,495.427
7.2,648.8870000000001
7.4,786.47
7.6,907.056
7.8,1003.22
8.0,1082.71
8.5,1199.56
9.0,1245.35
9.5,1259.0600000000002
10.0,1259.42
10.5,1254.31
11.0,1247.1699999999998
11.5,1239.05
12.0,1204.51
12.5,1124.1399999999999
13.0,1021.94
13.5,906.3570000000001
14.0,800.02
14.5,708.977
15.0,632.392
16.0,519.429
17.0,441.701
18.0,390.799
19.0,356.721
20.0,332.429
21.0,313.884
22.0,299.168
23.0,286.664
24.0,277.167
25.0,267.799
26.0,260.419
27.0,252.46499999999997
28.0,245.53099999999998
29.0,238.31099999999998
30.0,232.301
30.0,72.8536
32.0,68.8526
34.0,63.845400000000005
36.0,59.571
38.0,56.120000000000005
40.0,53.419200000000004
42.0,50.812400000000004
44.0,48.6147
46.0,46.8325
48.0,45.2401
50.0,44.071
52.0,43.756899999999995
54.0,42.55499999999999
56.0,41.2348
58.0,40.075900000000004
60.0,39.070299999999996
65.0,35.644999999999996
70.0,33.7364
75.0,31.521499999999996
80.0,29.9939
90.0,27.2018
100.0,24.9513
110.00000000000001,22.8261
120.0,20.9479
130.0,19.2806
140.0,17.9578
150.0,16.7572
160.0,15.7857
180.0,14.508099999999999
200.0,13.8727
