E(MeV),xs(mb)
34.0,2.23469e-6
36.0,0.0010339499999999998
38.0,0.010479
40.0,0.0445744
42.0,0.11649400000000001
44.0,0.22278799999999999
46.0,0.326124
48.0,0.42911900000000003
50.0,0.511171
52.0,0.5633180000000001
54.0,0.594942
56.0,0.604759
58.0,0.600132
60.0,0.592226
65.0,0.54591
70.0,0.5052139999999999
75.0,0.46540100000000006
80.0,0.43118100000000004
90.0,0.37840300000000004
100.0,0.333139
110.00000000000001,0.29948800000000003
120.0,0.27041
130.0,0.24259400000000003
140.0,0.21929300000000002
150.0,0.198328
160.0,0.17972500000000002
180.0,0.160885
200.0,0.147982
