E(MeV),xs(mb)
13.0,0.0
13.5,3.4039e-12
14.0,3.1874e-10
14.5,1.0935e-8
15.0,3.6892e-7
16.0,0.000129856
17.0,0.0679468
18.0,5.04569
19.0,22.1977
20.0,70.4638
21.0,185.72
22.0,358.92900000000003
23.0,513.975
24.0,597.675
25.0,601.918
26.0,557.988
27.0,493.83
28.0,428.16099999999994
29.0,372.978
30.0,327.697
32.0,255.181
34.0,216.517
36.0,190.65
38.0,170.38199999999998
40.0,155.949
42.0,143.609
44.0,132.775
46.0,122.356
48.0,114.44099999999999
50.0,107.43100000000001
52.0,102.107
54.0,95.8682
56.0,92.17439999999999
58.0,87.9856
60.0,84.16040000000001
65.0,78.9213
70.0,72.86330000000001
75.0,67.71770000000001
80.0,63.4289
90.0,56.338100000000004
100.0,50.8603
110.00000000000001,47.231300000000005
120.0,44.115
130.0,40.454100000000004
140.0,38.0953
150.0,36.582499999999996
160.0,34.2405
180.0,30.755499999999998
200.0,26.054
