E(MeV),xs(mb)
7.61801,0.0
7.8,16.4378
8.0,47.5086
8.5,178.604
9.0,333.473
9.5,480.90200000000004
10.0,622.771
10.5,736.666
11.0,833.4849999999999
11.5,905.519
12.0,958.2839999999999
12.5,994.4309999999999
13.0,1018.3199999999999
13.5,1032.1
14.0,1042.12
14.5,1046.94
15.0,1047.7099999999998
16.0,1043.4
17.0,1034.5200000000002
18.0,1021.0500000000001
19.0,996.5550000000001
20.0,935.957
21.0,845.4309999999999
22.0,743.87
23.0,650.3009999999999
24.0,575.232
25.0,509.70399999999995
26.0,463.03400000000005
27.0,424.96999999999997
28.0,397.052
29.0,373.043
30.0,354.221
30.0,356.002
32.0,324.401
34.0,302.17
36.0,280.347
38.0,262.94100000000003
40.0,245.312
42.0,229.75400000000002
44.0,215.74300000000002
46.0,204.04399999999998
48.0,191.36599999999999
50.0,184.653
52.0,173.532
54.0,167.027
56.0,157.028
58.0,151.43
60.0,147.381
65.0,132.754
70.0,115.749
75.0,101.92699999999999
80.0,92.072
90.0,75.7811
100.0,63.07940000000001
110.00000000000001,53.4936
120.0,47.1879
130.0,40.3679
140.0,35.7943
150.0,31.2996
160.0,27.9976
180.0,22.3709
200.0,19.0367
