E(MeV),xs(mb)
12.273,0.0
12.5,13.260000000000002
13.0,73.7664
13.5,155.857
14.0,249.115
14.5,348.363
15.0,421.33000000000004
16.0,525.144
17.0,587.149
18.0,622.6519999999999
19.0,641.376
20.0,655.0500000000001
21.0,646.711
22.0,635.026
23.0,618.521
24.0,592.453
25.0,553.1469999999999
26.0,503.609
27.0,451.03
28.0,405.89700000000005
29.0,367.62600000000003
30.0,334.217
30.0,274.44
32.0,217.125
34.0,189.999
36.0,172.238
38.0,158.198
40.0,149.281
42.0,141.145
44.0,133.385
46.0,126.03500000000001
48.0,118.382
50.0,111.813
52.0,106.274
54.0,100.533
56.0,96.3406
58.0,93.4
60.0,90.6715
65.0,84.75120000000001
70.0,75.4126
75.0,66.78359999999999
80.0,59.0233
90.0,48.339
100.0,40.422700000000006
110.00000000000001,34.1003
120.0,29.7373
130.0,25.601
140.0,22.626400000000004
150.0,19.7939
160.0,17.5961
180.0,14.2814
200.0,12.812
