E(MeV),xs(mb)
24.8272,0.0
25.0,0.0583517
26.0,5.82435
27.0,30.4289
28.0,89.5684
29.0,182.288
30.0,296.248
30.0,296.251
32.0,524.076
34.0,672.786
36.0,719.258
38.0,661.202
40.0,550.657
42.0,431.621
44.0,338.782
46.0,273.118
48.0,231.248
50.0,203.23699999999997
52.0,184.871
54.0,170.719
56.0,160.75
58.0,153.323
60.0,148.222
65.0,134.476
70.0,123.85999999999999
75.0,113.726
80.0,108.493
90.0,98.7271
100.0,90.59150000000001
110.00000000000001,85.04310000000001
120.0,77.9705
130.0,73.1621
140.0,66.7507
150.0,62.230199999999996
160.0,56.396699999999996
180.0,48.7573
200.0,42.564099999999996
