E(MeV),xs(mb)
18.1035,0.0
19.0,4.81542
20.0,31.927300000000002
21.0,89.7368
22.0,169.133
23.0,261.507
24.0,347.423
25.0,426.80300000000005
26.0,488.99
27.0,534.21
28.0,562.727
29.0,578.6400000000001
30.0,581.501
30.0,581.5400000000001
32.0,573.744
34.0,495.327
36.0,400.185
38.0,308.651
40.0,233.09000000000003
42.0,176.174
44.0,138.35500000000002
46.0,112.552
48.0,94.8355
50.0,83.4216
52.0,75.1054
54.0,69.7985
56.0,65.8594
58.0,61.8133
60.0,59.1588
65.0,52.978500000000004
70.0,51.2267
75.0,48.950199999999995
80.0,46.4649
90.0,40.955799999999996
100.0,36.6819
110.00000000000001,32.9892
120.0,30.3478
130.0,27.8192
140.0,25.9247
150.0,23.3062
160.0,20.7602
180.0,16.2921
200.0,13.347199999999999
