E(MeV),xs(mb)
26.0249,0.0
27.0,3.2148
28.0,23.358400000000003
29.0,77.3971
30.0,164.827
30.0,164.86
32.0,378.99
34.0,564.974
36.0,678.269
38.0,710.3290000000001
40.0,651.198
42.0,541.96
44.0,430.844
46.0,342.558
48.0,279.047
50.0,237.52900000000002
52.0,210.051
54.0,189.62699999999998
56.0,175.556
58.0,165.77599999999998
60.0,157.269
65.0,142.136
70.0,131.678
75.0,122.91000000000001
80.0,116.83300000000001
90.0,106.203
100.0,98.4874
110.00000000000001,90.978
120.0,82.5675
130.0,73.94720000000001
140.0,66.9559
150.0,61.1982
160.0,55.900400000000005
180.0,47.5376
200.0,41.0069
