E(MeV),xs(mb)
8.52728,0.0
9.0,225.45899999999997
9.5,669.018
10.0,1083.22
10.5,1380.18
11.0,1591.37
11.5,1729.53
12.0,1822.7
12.5,1885.04
13.0,1926.48
13.5,1953.4199999999998
14.0,1970.27
14.5,1980.1200000000001
15.0,1985.49
16.0,1965.03
17.0,1803.75
18.0,1514.89
19.0,1220.73
20.0,958.035
21.0,762.383
22.0,626.8620000000001
23.0,534.886
24.0,473.905
25.0,433.33500000000004
26.0,404.22
27.0,381.637
28.0,363.943
29.0,349.459
30.0,336.932
30.0,338.41999999999996
32.0,318.711
34.0,302.23
36.0,287.33
38.0,271.29400000000004
40.0,256.185
42.0,242.54799999999997
44.0,229.941
46.0,219.20600000000002
48.0,208.649
50.0,198.846
52.0,193.075
54.0,190.501
56.0,184.221
58.0,177.867
60.0,171.961
65.0,159.184
70.0,149.274
75.0,140.406
80.0,132.754
90.0,119.42099999999999
100.0,108.83
110.00000000000001,99.6837
120.0,92.0628
130.0,84.7142
140.0,76.821
150.0,69.4486
160.0,63.493500000000004
180.0,53.3545
200.0,45.6211
