E(MeV),xs(mb)
7.4,0.0
7.6,7.1146e-16
7.8,1.9696e-12
8.0,1.0762e-11
8.5,7.777999999999999e-11
9.0,2.655e-10
9.5,8.660900000000001e-10
10.0,3.2076e-9
10.5,1.3737999999999999e-8
11.0,6.650100000000001e-8
11.5,3.5753e-7
12.0,1.7411e-6
12.5,5.2571399999999994e-6
13.0,2.1831700000000003e-5
13.5,0.00011883500000000001
14.0,0.000653065
14.5,0.0034921600000000002
15.0,0.0181148
16.0,0.234379
17.0,0.8729110000000001
18.0,1.98028
19.0,3.78639
20.0,6.65267
21.0,10.7995
22.0,16.454
23.0,23.377699999999997
24.0,31.4651
25.0,40.510400000000004
26.0,49.985099999999996
27.0,59.8068
28.0,69.7594
29.0,79.59349999999999
30.0,88.7696
32.0,105.055
34.0,118.625
36.0,129.209
38.0,137.23399999999998
40.0,143.069
42.0,147.554
44.0,151.448
46.0,154.342
48.0,156.945
50.0,159.317
52.0,161.686
54.0,164.27700000000002
56.0,167.699
58.0,171.123
60.0,174.707
65.0,186.96200000000002
70.0,206.346
75.0,239.89600000000002
80.0,291.79400000000004
90.0,346.997
100.0,274.88100000000003
110.00000000000001,228.18200000000002
120.0,205.654
130.0,191.475
140.0,178.763
150.0,169.161
160.0,161.162
180.0,145.822
200.0,129.573
