E(MeV),xs(mb)
6.48444,0.0
6.6,42.934
6.8,150.06900000000002
7.0,303.458
7.2,476.251
7.4,671.759
7.6,869.4570000000001
7.8,1027.05
8.0,1190.8700000000001
8.5,1454.2900000000002
9.0,1609.02
9.5,1701.8999999999999
10.0,1762.3899999999999
10.5,1804.6899999999998
11.0,1835.34
11.5,1859.5600000000002
12.0,1881.6299999999999
12.5,1898.51
13.0,1914.24
13.5,1924.9
14.0,1934.02
14.5,1938.76
15.0,1940.5300000000002
16.0,1808.6299999999999
17.0,1467.3799999999999
18.0,1069.89
19.0,798.388
20.0,635.336
21.0,531.653
22.0,473.01
23.0,436.246
24.0,410.116
25.0,392.995
26.0,376.959
27.0,364.29
28.0,352.64799999999997
29.0,339.99
30.0,332.08500000000004
30.0,333.553
32.0,314.341
34.0,299.233
36.0,287.837
38.0,271.646
40.0,256.538
42.0,243.202
44.0,229.96099999999998
46.0,219.719
48.0,210.371
50.0,201.28499999999997
52.0,195.831
54.0,191.931
56.0,187.02700000000002
58.0,181.64499999999998
60.0,174.41500000000002
65.0,162.267
70.0,149.595
75.0,142.21699999999998
80.0,132.413
90.0,119.05399999999999
100.0,109.284
110.00000000000001,99.708
120.0,91.8766
130.0,85.276
140.0,76.7262
150.0,69.447
160.0,64.0549
180.0,53.014599999999994
200.0,46.0411
