E(MeV),xs(mb)
25.873400000000004,0.0
26.0,0.0032051500000000004
27.0,0.45512600000000003
28.0,3.52825
29.0,12.973600000000001
30.0,30.306099999999997
30.0,30.306199999999997
32.0,85.62960000000001
34.0,148.904
36.0,204.14
38.0,241.805
40.0,258.152
42.0,257.415
44.0,242.98600000000002
46.0,221.787
48.0,199.29399999999998
50.0,178.945
52.0,162.67100000000002
54.0,148.425
56.0,137.198
58.0,126.268
60.0,117.76599999999999
65.0,101.947
70.0,92.5459
75.0,86.67490000000001
80.0,80.34570000000001
90.0,68.645
100.0,59.001200000000004
110.00000000000001,52.382799999999996
120.0,47.2358
130.0,42.328
140.0,38.3444
150.0,34.6079
160.0,31.285400000000003
180.0,26.249699999999997
200.0,22.2808
