E(MeV),xs(mb)
32.0,0.48773099999999997
34.0,7.07856
36.0,27.720699999999997
38.0,60.77759999999999
40.0,97.1723
42.0,126.33000000000001
44.0,141.324
46.0,141.76
48.0,130.109
50.0,112.236
52.0,93.4598
54.0,76.6312
56.0,62.6215
58.0,51.4527
60.0,43.3347
65.0,32.4796
70.0,26.6338
75.0,24.157600000000002
80.0,22.272
90.0,20.2853
100.0,18.8221
110.00000000000001,17.6327
120.0,16.182399999999998
130.0,14.4881
140.0,12.872300000000001
150.0,11.538699999999999
160.0,10.397300000000001
180.0,8.54963
200.0,7.13283
