E(MeV),xs(mb)
22.9795,0.0
23.0,0.00429161
24.0,9.45746
25.0,58.396699999999996
26.0,160.056
27.0,305.578
28.0,465.218
29.0,616.268
30.0,742.985
30.0,743.098
32.0,911.375
34.0,930.7579999999999
36.0,819.2690000000001
38.0,656.595
40.0,505.202
42.0,393.148
44.0,319.507
46.0,273.664
48.0,245.318
50.0,224.73700000000002
52.0,208.223
54.0,196.86999999999998
56.0,187.839
58.0,180.888
60.0,173.102
65.0,158.51999999999998
70.0,146.55800000000002
75.0,137.34
80.0,129.853
90.0,117.82300000000001
100.0,108.314
110.00000000000001,100.612
120.0,94.00280000000001
130.0,88.7971
140.0,82.1848
150.0,75.5329
160.0,70.332
180.0,60.182500000000005
200.0,52.3789
