E(MeV),xs(mb)
10.901499999999999,0.0
11.0,2.83418
11.5,93.1328
12.0,272.079
12.5,429.663
13.0,557.2199999999999
13.5,656.133
14.0,738.298
14.5,798.3100000000001
15.0,843.572
16.0,900.617
17.0,922.5609999999999
18.0,924.825
19.0,917.638
20.0,898.1460000000001
21.0,858.071
22.0,798.226
23.0,723.297
24.0,643.276
25.0,572.99
26.0,510.723
27.0,456.65500000000003
28.0,415.749
29.0,381.716
30.0,354.966
30.0,355.342
32.0,315.478
34.0,287.98400000000004
36.0,266.10999999999996
38.0,249.642
40.0,235.853
42.0,220.67999999999998
44.0,208.647
46.0,196.982
48.0,186.531
50.0,175.012
52.0,165.917
54.0,157.917
56.0,152.44
58.0,148.826
60.0,145.073
65.0,128.6
70.0,114.51100000000001
75.0,103.183
80.0,93.5676
90.0,79.5167
100.0,68.3616
110.00000000000001,59.6494
120.0,52.5887
130.0,46.215599999999995
140.0,41.364999999999995
150.0,36.9793
160.0,33.046099999999996
180.0,27.1373
200.0,22.612199999999998
