E(MeV),xs(mb)
3.339,0.0
3.4,1.2
3.5,2.9
3.75,7.10318
4.0,13.5
4.25,19.0312
4.5,25.0
5.0,37.0
5.5,48.6414
5.6,51.0236
6.0,60.199999999999996
6.5,71.1742
7.0,82.0
7.25,87.3005
7.5,92.59280000000001
7.85,99.7726
8.0,102.69999999999999
8.5,111.85300000000001
9.0,120.0
9.5,127.25500000000001
9.7,130.005
10.0,134.0
10.5,139.833
11.0,145.279
11.5,150.278
11.75,152.595
12.0,154.78300000000002
12.170000000000002,156.183
12.25,156.81199999999998
12.5,158.659
13.0,161.84300000000002
13.5,164.409
14.0,166.424
14.1,166.767
14.5,167.953
15.0,169.056
15.5,170.09799999999998
16.0,170.75400000000002
16.5,171.09099999999998
17.0,171.17
17.5,171.051
18.0,170.761
18.5,170.303
19.0,169.684
19.5,168.906
20.0,167.978
21.0,166.564
22.0,164.898
23.0,162.985
24.0,160.834
25.0,159.37699999999998
26.0,157.68200000000002
27.0,155.762
28.0,153.63500000000002
29.0,151.31699999999998
30.0,148.827
31.0,146.189
32.0,143.476
33.0,140.763
34.0,138.11
35.0,135.562
36.0,132.504
37.0,129.64
38.0,126.986
39.0,124.55000000000001
40.0,122.339
42.0,118.30499999999999
44.0,114.623
46.0,111.31899999999999
46.3,110.85499999999999
48.0,108.404
50.0,105.87500000000001
52.0,103.682
53.0,102.671
54.0,101.703
56.0,99.9113
58.0,98.3376
60.0,96.96
62.0,95.706
64.0,94.5142
66.0,93.3813
68.0,92.30420000000001
70.0,91.28
72.0,90.30590000000001
74.0,89.3792
76.0,88.4975
78.0,87.6585
80.0,86.86
82.0,86.0937
84.0,85.3528
86.0,84.637
88.0,83.946
90.0,83.2793
92.0,82.6366
94.0,82.0174
96.0,81.42099999999999
98.0,80.8471
100.0,80.295
102.0,79.6992
104.0,79.058
106.0,78.38199999999999
108.0,77.6805
110.00000000000001,76.9619
112.00000000000001,76.2334
113.99999999999999,75.5016
115.99999999999999,74.7718
118.0,74.0492
120.0,73.3377
122.0,72.6412
124.0,71.9627
126.0,71.3048
128.0,70.67
129.0,70.3618
130.0,70.06
132.0,69.4702
134.0,68.8945
136.0,68.3321
138.0,67.7825
140.0,67.24510000000001
142.0,66.71940000000001
144.0,66.20490000000001
146.0,65.7011
148.0,65.2076
150.0,64.724
