E(MeV),xs(mb)
7.42917,0.0
7.6,71.23490000000001
7.8,243.111
8.0,480.859
8.5,1074.6899999999998
9.0,1527.53
9.5,1810.75
10.0,1987.23
10.5,2089.7999999999997
11.0,2148.67
11.5,2184.73
12.0,2205.9
12.5,2219.35
13.0,2227.7200000000003
13.5,2232.12
14.0,2228.02
14.5,2179.58
15.0,2056.1099999999997
16.0,1630.42
17.0,1198.01
18.0,864.247
19.0,636.429
20.0,499.54200000000003
21.0,413.71599999999995
22.0,362.436
23.0,327.389
24.0,305.863
25.0,287.839
26.0,275.57
27.0,263.153
28.0,254.278
29.0,243.92000000000002
30.0,237.38800000000003
30.0,238.921
32.0,224.518
34.0,215.50500000000002
36.0,201.998
38.0,190.82399999999998
40.0,179.452
42.0,169.753
44.0,161.686
46.0,153.267
48.0,145.905
50.0,140.214
52.0,137.3
54.0,137.816
56.0,133.532
58.0,128.239
60.0,124.518
65.0,115.16
70.0,107.65299999999999
75.0,101.172
80.0,95.1083
90.0,85.3674
100.0,77.1929
110.00000000000001,70.13080000000001
120.0,64.13
130.0,59.4593
140.0,54.8135
150.0,51.0647
160.0,47.89189999999999
180.0,41.66890000000001
200.0,35.180099999999996
