E(MeV),xs(mb)
7.79283,0.0
7.8,1.00118
8.0,28.464999999999996
8.5,246.25300000000001
9.0,588.03
9.5,964.996
10.0,1296.24
10.5,1560.9299999999998
11.0,1759.01
11.5,1902.66
12.0,2000.11
12.5,2068.2299999999996
13.0,2118.04
13.5,2155.25
14.0,2183.8
14.5,2204.92
15.0,2211.62
16.0,2138.02
17.0,1917.45
18.0,1586.47
19.0,1232.48
20.0,938.655
21.0,718.7909999999999
22.0,572.212
23.0,482.08500000000004
24.0,425.193
25.0,388.654
26.0,364.149
27.0,346.175
28.0,331.49199999999996
29.0,320.535
30.0,310.04999999999995
30.0,311.809
32.0,295.382
34.0,282.815
36.0,267.26800000000003
38.0,252.64600000000002
40.0,239.906
42.0,227.792
44.0,217.50099999999998
46.0,207.29600000000002
48.0,198.186
50.0,190.059
52.0,185.832
54.0,181.465
56.0,175.783
58.0,170.627
60.0,165.987
65.0,155.651
70.0,147.025
75.0,139.779
80.0,132.915
90.0,121.27799999999999
100.0,111.36299999999999
110.00000000000001,102.77499999999999
120.0,95.5209
130.0,89.07
140.0,83.36449999999999
150.0,78.6163
160.0,73.9376
180.0,63.814
200.0,54.524800000000006
