E(MeV),xs(mb)
23.2125,0.0
24.0,3.8544
25.0,36.8558
26.0,122.62299999999999
27.0,257.313
28.0,413.087
29.0,568.4789999999999
30.0,704.605
30.0,704.63
32.0,885.4110000000001
34.0,900.7479999999999
36.0,778.21
38.0,613.01
40.0,470.65299999999996
42.0,370.42199999999997
44.0,305.28499999999997
46.0,262.773
48.0,234.53300000000002
50.0,214.17000000000002
52.0,198.349
54.0,185.827
56.0,176.822
58.0,167.381
60.0,160.426
65.0,146.079
70.0,134.926
75.0,126.79
80.0,119.23299999999999
90.0,108.791
100.0,101.484
110.00000000000001,90.7934
120.0,80.6313
130.0,72.8095
140.0,65.2371
150.0,58.1391
160.0,51.955299999999994
180.0,41.9525
200.0,34.6005
