E(MeV),xs(mb)
25.003899999999998,0.0
26.0,1.84952
27.0,12.375799999999998
28.0,43.971999999999994
29.0,101.49600000000001
30.0,183.714
30.0,183.715
32.0,377.836
34.0,546.426
36.0,635.816
38.0,632.059
40.0,559.5550000000001
42.0,463.89
44.0,368.21799999999996
46.0,293.195
48.0,243.19000000000003
50.0,209.75100000000003
52.0,186.91899999999998
54.0,170.696
56.0,158.808
58.0,149.34199999999998
60.0,142.936
65.0,128.617
70.0,119.415
75.0,110.837
80.0,103.096
90.0,92.6247
100.0,86.35059999999999
110.00000000000001,80.7286
120.0,73.9723
130.0,67.4562
140.0,62.116499999999995
150.0,57.2314
160.0,52.973299999999995
180.0,45.4797
200.0,39.481
