E(MeV),xs(mb)
17.2706,0.0
18.0,9.82627
19.0,71.9765
20.0,179.795
21.0,305.345
22.0,453.992
23.0,578.235
24.0,680.562
25.0,756.479
26.0,806.035
27.0,836.388
28.0,850.954
29.0,845.8090000000001
30.0,822.3330000000001
30.0,822.785
32.0,716.2620000000001
34.0,574.262
36.0,445.37000000000006
38.0,351.931
40.0,288.442
42.0,250.531
44.0,226.801
46.0,208.088
48.0,194.718
50.0,182.72
52.0,173.515
54.0,165.669
56.0,156.80700000000002
58.0,151.46
60.0,146.053
65.0,134.946
70.0,126.221
75.0,118.608
80.0,111.059
90.0,99.63369999999999
100.0,90.81200000000001
110.00000000000001,82.7783
120.0,73.2151
130.0,66.253
140.0,59.0418
150.0,53.121700000000004
160.0,48.5593
180.0,39.788000000000004
200.0,33.4566
