E(MeV),xs(mb)
22.6971,0.0
23.0,0.09411009999999999
24.0,5.12742
25.0,33.1474
26.0,105.905
27.0,230.58700000000002
28.0,396.706
29.0,583.133
30.0,765.4219999999999
30.0,765.576
32.0,1026.26
34.0,1062.9299999999998
36.0,905.106
38.0,676.492
40.0,473.438
42.0,340.795
44.0,260.50399999999996
46.0,216.496
48.0,191.024
50.0,174.01899999999998
52.0,161.801
54.0,151.817
56.0,145.083
58.0,140.43300000000002
60.0,136.121
65.0,126.664
70.0,118.673
75.0,111.522
80.0,104.92699999999999
90.0,96.9412
100.0,90.68530000000001
110.00000000000001,84.9512
120.0,79.7781
130.0,74.983
140.0,71.1962
150.0,67.9366
160.0,65.2334
180.0,56.0334
200.0,48.4285
