E(MeV),xs(mb)
13.4356,0.0
13.5,0.060202200000000004
14.0,1.51476
14.5,4.33172
15.0,7.87074
16.0,15.3421
17.0,21.5911
18.0,26.5108
19.0,31.006800000000002
20.0,35.530300000000004
21.0,39.393699999999995
22.0,41.8457
23.0,42.6699
24.0,42.3799
25.0,41.303
26.0,39.8789
27.0,38.5513
28.0,37.1351
29.0,35.806
30.0,34.5506
30.0,34.5526
32.0,31.956799999999998
34.0,29.708399999999997
36.0,27.8828
38.0,26.241500000000002
40.0,24.7943
42.0,23.519199999999998
44.0,22.362099999999998
46.0,21.2675
48.0,20.208599999999997
50.0,19.1308
52.0,18.0543
54.0,17.0895
56.0,16.3968
58.0,15.6949
60.0,15.1599
65.0,14.1297
70.0,12.8847
75.0,11.7196
80.0,10.5802
90.0,8.93464
100.0,7.51983
110.00000000000001,6.5545
120.0,5.73925
130.0,4.9974
140.0,4.56572
150.0,4.24711
160.0,3.97804
180.0,3.50535
200.0,3.15498
