E(MeV),xs(mb)
21.583000000000002,0.0
22.0,0.0526543
23.0,2.26369
24.0,10.2654
25.0,26.152
26.0,42.7569
27.0,60.0387
28.0,74.4409
29.0,85.2051
30.0,93.2216
30.0,93.2231
32.0,104.193
34.0,108.94999999999999
36.0,106.909
38.0,99.0609
40.0,89.3682
42.0,81.02690000000001
44.0,74.9338
46.0,70.45219999999999
48.0,66.1003
50.0,63.4404
52.0,60.9384
54.0,59.1026
56.0,56.6046
58.0,55.1518
60.0,52.9131
65.0,49.1078
70.0,45.7573
75.0,42.5912
80.0,39.0827
90.0,33.9196
100.0,29.4709
110.00000000000001,26.317400000000003
120.0,23.2524
130.0,20.793300000000002
140.0,18.6085
150.0,16.8113
160.0,15.0457
180.0,12.396799999999999
200.0,11.2995
